date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,10172.19,1.37,2.5667177766
2015-06-30,10110.14,1.35,2.50116880676
2015-03-31,9785.64,1.1,2.49985247771
2014-12-31,9399.89,1.09,2.54089872328
2014-09-30,9103.94,0.96,2.79166961777
2014-06-30,8919.52,0.93,2.71505520476
2014-03-31,8646.08,0.91,2.72504880825
2013-12-31,8231.69,0.9,2.72639979154
2013-09-30,7978.58,0.92,2.78910247187
2013-06-30,7726.71,0.91,2.78953163766
2013-03-31,7580.85,0.9,2.81692129511
2012-12-31,7201.68,0.88,2.81966882727
2012-09-30,6980.59,0.85,2.81515889058
2012-06-30,6705.91,0.85,2.84330955829
2012-03-31,6467.22,0.88,2.83331248976
2011-12-31,6114.63,0.92,2.82269900223
2011-09-30,5768.04,0.96,2.88217950985
2011-06-30,5706.75,0.98,2.66536617164
2011-03-31,5493.06,1.08,2.59280016057
2010-12-31,5279.37,1.18,2.47631092346
2010-09-30,5084.795,1.23,2.48506425529
2010-06-30,4890.22,1.28,2.49407175955
2010-03-31,4596.24,1.39,2.5013001932
2009-12-31,4302.26,1.5,2.50399994422
2009-09-30,4280.69,1.525,2.44412349411
2009-06-30,4259.12,1.55,2.38117188527
2009-03-31,3906.95,1.685,2.5531411971
