date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,23775.7,1.42,2.53367701477
2015-06-30,23080.03,1.32,2.35739740373
2015-03-31,22440.11,1.35,2.47830667497
2014-12-31,21879.08,1.3,2.35730754675
2014-09-30,21241.28,1.39,2.51439071468
2014-06-30,21191.44,1.19,2.29545480628
2014-03-31,20436.3,1.15,2.2146892735
2013-12-31,19411.75,1.03,2.1251947506
2013-09-30,18829.68,0.9,2.09050249394
2013-06-30,18245.52,0.9,2.00911462101
2013-03-31,17557.19,0.88,2.14681483768
2012-12-31,16629.01,0.74,2.12430189771
2012-09-30,16018.15,0.6,1.83326098207
2012-06-30,15353.52,0.61,1.6712647914
2012-03-31,14768.69,0.56,1.73248629364
2011-12-31,14340.37,0.6,1.62185474294
2011-09-30,13842.43,0.6,1.50147719728
2011-06-30,13548.19,0.62,1.48320185206
2011-03-31,12978.63,0.66,1.52607056369
2010-12-31,12642.45,0.67,1.44108209247
2010-09-30,12004.79,0.81,1.27995418495
2010-06-30,11928.38,0.81,1.38247909607
2010-03-31,11327.77,0.84,1.42862293285
2009-12-31,10656.49,0.95,1.42359212086
2009-09-30,9911.6,0.96,1.53204210218
2009-06-30,9887.48,0.99,1.48601018662
2009-03-31,8360.99,1.07,1.67611218289
