date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,37271.3,1.4187,2.3455
2015-06-30,37091.52,1.3521,2.3045
2015-03-31,35926.51,1.3039,2.2538
2014-12-31,34317.35,1.2535,2.2423
2014-09-30,34791.48,1.1748,2.3647
2014-06-30,34337.69,1.1285,2.3039
2014-03-31,33098.96,1.0894,2.3126
2013-12-31,32663.68,1.0504,2.2442
2013-09-30,32177.67,1.0115,2.1999
2013-06-30,32014.17,0.9892,2.205
2013-03-31,31602.58,0.9726,2.2573
2012-12-31,29472.99,0.9159,2.296
2012-09-30,28685.5,0.8671,2.2827
2012-06-30,28059.2,0.8152,2.2297
2012-03-31,27046.05,0.8094,2.205
2011-12-31,25617.5,0.8582,2.2003
2011-09-30,25075.83,0.9409,2.154
2011-06-30,24330.56,0.9837,2.1041
2011-03-31,23441.64,1.054,2.0851
2010-12-31,22369.27,1.1171,2.076
2010-09-30,21748.72,1.2223,2.0529
2010-06-30,20705.68,1.2235,1.9719
2010-03-31,20000.07,1.2697,1.9712
2009-12-31,18393.14,1.3597,2.0538
2009-09-30,18064.55,1.4399,1.8872
2009-06-30,17292.18,1.5051,1.8512
2009-03-31,16064.52,1.6221,1.9444
