时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,14.43,11.67,157.63,165218.28,118806.59,69.44,1714.08,1.44,--,--,19041.25,--,--,--,1446.83,27.58,2.52,2.39
2015-06-30,14.17,11.7,163.39,162877.68,116420.85,68.9,1634.95,1.4,4.5,14.7,18219.39,--,128607.45,35.6,1041.55,29.24,2.53,2.34
2015-03-31,14.41,11.54,180.41,158481.71,113198.42,68.59,1455.48,1.29,--,--,18453.86,--,--,--,558.81,30.85,3.58,4.18
2014-12-31,14.53,11.49,206.9,155566.01,110263.31,68.4,1244.97,1.13,4.8,14.9,18121.37,--,124759.39,33.2,1653.7,25.1,2.66,2.46
2014-09-30,14.2,11.27,216.6,153399.64,108536.52,68.1,1154.71,1.06,--,--,17097.57,--,--,--,1256.55,25.72,2.61,2.48
2014-06-30,13.67,11,238.02,157283.32,106461.15,66.3,1057.41,0.99,4.4,16.5,16206.16,--,118586.69,33.5,908.18,27.65,2.62,2.43
2014-03-31,13.22,10.66,245.39,151609.8,103721.8,67.3,1005.5,0.97,--,--,16410.43,--,--,--,468.08,28.78,2.57,2.42
2013-12-31,13.12,10.62,257.19,146208.25,99223.74,66.6,936.89,0.94,4.2,16.2,15722.65,--,119821.87,30.2,1463.02,24.81,2.57,2.4
2013-09-30,13.17,10.64,268.87,146927.18,96445.2,65.2,873.61,0.91,--,--,15238.99,--,--,--,1142.81,25.86,2.55,2.43
2013-06-30,13.11,10.8,288.16,145084.02,94376.42,64.8,817.68,0.87,3.8,17.2,14565.48,--,111085.08,31.8,827.18,27.7,2.57,2.41
2013-03-31,13.68,10.84,288.12,143842.73,92649.54,64.2,802.37,0.87,--,--,14777.26,--,--,--,410.43,27.78,2.61,2.48
2012-12-31,13.66,10.62,295.55,136429.1,88036.92,64.1,745.75,0.85,4,17.9,12990.14,10104.63,95112.05,32.5,1191.17,22.18,2.66,2.49
2012-09-30,13.61,10.51,288.33,136335.02,86378.12,63.2,747.52,0.87,--,--,--,--,--,--,901.04,22.44,2.71,2.61
2012-06-30,13.56,10.38,281.4,131805.97,84240.37,63.1,751.25,0.89,3.4,17.6,12243.68,9371.24,90318.5,32.7,614.28,23.14,2.66,2.48
2012-03-31,13.13,10.15,280.88,126152.81,81580.9,63.71,728.19,0.89,--,--,--,--,--,--,322.01,24.58,2.73,2.66
2011-12-31,13.17,10.07,266.92,122612.19,77888.97,63.5,730.11,0.94,3.6,19.3,11124.63,8503.55,84472.63,27.6,1124.5,23.66,2.61,2.49
2011-09-30,12.51,10.03,272.66,121442.32,75990.4,62.66,691.9,0.91,--,--,--,--,--,--,846.42,24.06,2.64,2.61
2011-06-30,12.33,9.82,261.14,120471.38,73340.4,61.2,694.86,0.95,3.4,20.6,9992.8,7956.13,81051.03,30.3,581.84,25.01,2.6,2.49
