date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,103596.26,1.4476,2.5911
2015-06-30,101570.79,1.4213,2.6335
2015-03-31,98122.11,1.2971,2.688
2014-12-31,94745.23,1.1945,2.6557
2014-09-30,93494.89,1.1265,2.6413
2014-06-30,91906.01,1.0409,2.5906
2014-03-31,89211.28,1.0179,2.6487
2013-12-31,85900.57,0.9926,2.6623
2013-09-30,83772.1,0.9799,2.6249
2013-06-30,80950.52,0.9921,2.631
2013-03-31,78599.23,0.9895,2.6792
2012-12-31,75123.12,0.9933,2.6947
2012-09-30,72659.75,1.0039,2.6395
2012-06-30,70613.43,0.9972,2.6165
2012-03-31,68278.42,1.0353,2.5951
2011-12-31,64964.11,1.0916,2.6356
2011-09-30,63416.37,1.0193,2.5346
2011-06-30,61403.87,1.0328,2.527
2011-03-31,59100.98,1.0923,2.4991
2010-12-31,56691.28,1.1415,2.5243
2010-09-30,54918.4210526,1.14,2.4337
2010-06-30,53493.82,1.2182,2.494
2010-03-31,49327.8,1.3892,2.6696
2009-12-31,48197.73,1.4971,2.6314
2009-09-30,46931.2101911,1.57,2.529
2009-06-30,45253.57,1.7061,2.5679
2009-03-31,43124.2105263,1.9,2.6933
