date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,90355.9,1.4285,2.1959
2015-06-30,88971.54,1.4055,2.2119
2015-03-31,88023.94,1.3267,2.2162
2014-12-31,84832.75,1.1846,2.2223
2014-09-30,84444.03,1.074,2.2307
2014-06-30,84245.95,1.0192,2.2118
2014-03-31,81583.29,0.9845,2.2332
2013-12-31,76077.91,0.9631,2.2089
2013-09-30,75353.74,0.9562,2.2271
2013-06-30,74396.33,0.9337,2.2313
2013-03-31,73262.52,0.9063,2.2135
2012-12-31,68646.96,0.9534,2.2529
2012-09-30,69184.1,0.9265,2.1976
2012-06-30,67536.64,0.9411,2.1887
2012-03-31,65898.2,0.9703,2.1993
2011-12-31,63428.14,0.9976,2.2021
2011-09-30,62483.28,0.9903,2.2086
2011-06-30,62165.24,0.9964,2.1651
2011-03-31,59566.96,1.04,2.1423
2010-12-31,56606.21,1.1036,2.1704
2010-09-30,55551.71,1.1007,2.1896
2010-06-30,53918.79,1.1979,2.2574
2010-03-31,53125.96,1.2995,2.2363
2009-12-31,49103.58,1.5216,2.3003
2009-09-30,47012.65,1.6019,2.3173
2009-06-30,43134.74,1.7964,2.4963
2009-03-31,38072.76,2.2359,2.8277
