date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,27185.02,1.5964,3.1204
2015-06-30,26461.57,1.4971,3.0566
2015-03-31,26227.36,1.2425,2.7803
2014-12-31,25139.19,1.1105,2.5921
2014-09-30,24455.04,1.1009,2.51
2014-06-30,24220.92,0.9784,2.4585
2014-03-31,23491.85,0.8458,2.2672
2013-12-31,21970.94,0.8344,2.2194
2013-09-30,21732.06,0.7869,2.211
2013-06-30,20980.78,0.7114,2.1677
2013-03-31,19906.67,0.6556,2.1508
2012-12-31,19044.63,0.614,2.1601
2012-09-30,18360.45,0.5946,2.2438
2012-06-30,17839.03,0.5551,2.2429
2012-03-31,17038.08,0.5552,2.2451
2011-12-31,16410.75,0.559,2.2366
2011-09-30,15980.87,0.5895,2.1605
2011-06-30,15547.92,0.6114,2.1302
2011-03-31,15057.61,0.615,2.0621
2010-12-31,14314.51,0.6767,2.0463
2010-09-30,13819.5,0.6385,1.9412
2010-06-30,13307.65,0.665,1.9791
2010-03-31,12716.84,0.7373,2.0073
2009-12-31,11858.22,0.8207,2.0243
2009-09-30,11697.65,0.832,2.0393
2009-06-30,11521.67,0.8613,2.0792
2009-03-31,9959.4,1.0138,2.2234
