date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,14685.22,1.4323,2.3598
2015-06-30,14182.01,1.4202,2.2038
2015-03-31,13718.35,1.1804,2.1406
2014-12-31,12994.55,1.1947,2.1567
2014-09-30,12721.44,1.0684,2.1047
2014-06-30,12453.56,1.1143,2.0669
2014-03-31,12218.67,0.9726,2.0266
2013-12-31,11663.1,0.8599,2.0725
2013-09-30,11393.98,0.8218,2.0935
2013-06-30,11045.54,0.8004,2.3439
2013-03-31,10764.68,0.7941,2.4255
2012-12-31,10231.87,0.744,2.527
2012-09-30,9971.79,0.7,2.3858
2012-06-30,9724.87,0.6431,2.3863
2012-03-31,9310.98,0.6445,2.3443
2011-12-31,8903.65,0.644,2.3635
2011-09-30,8658.63,0.6466,2.3467
2011-06-30,8511.79,0.6712,2.4069
2011-03-31,8256.87,0.6958,2.2927
2010-12-31,7795.18,0.748,2.3442
2010-09-30,7356.63,0.8709,2.3122
2010-06-30,7258.55,0.9465,2.2539
2010-03-30,6874.12,1.0905,2.3568
2009-12-31,6489.69,1.2517,2.4293
