时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,11.36,--,161.62,27080.15,19787.8,--,287.53,1.45,--,--,3762.73,--,--,--,456.81,39.32,2.29,2.67
2015-06-30,11.57,--,162.13,26326.8,19493.36,--,264.23,1.36,1.79,12.23,3613.12,--,31220.63,36.57,299.08,38.89,2.35,2.19
2015-03-31,10.81,9.3,180.58,24491.41,18866.93,--,230.36,1.22,--,--,3184.4,--,--,--,128.78,35.74,2.37,2.78
2014-12-31,10.69,8.78,182.2,24338.1,18126.66,--,211.34,1.17,2.11,13.6,3058.97,--,28627.1,36,433.33,31.99,2.59,2.41
2014-09-30,10.95,8.67,199.96,23976.9,17509.69,--,181.24,1.04,--,--,3001.51,--,--,--,325.11,32.54,2.61,2.67
2014-06-30,11.05,8.93,215.87,24205.77,16962.83,--,158.18,0.93,2.25,13.36,2869.44,--,25957.42,42.96,215.29,33.06,2.62,2.42
2014-03-31,11.03,8.66,256.63,22564.29,16352.54,--,141.53,0.87,--,--,2791.74,--,--,--,100.36,32.13,2.62,2.62
2013-12-31,10.69,8.83,259.74,21466.89,15742.63,--,134.04,0.85,2.59,14.44,2486.15,--,23251.05,29.31,328.53,28.35,2.49,2.3
2013-09-30,10.15,8.32,292.9,21806.86,15339.18,--,119.38,0.78,--,--,2417.48,--,--,--,253.86,29.53,2.8,2.64
2013-06-30,9.92,8.2,320.41,21749.75,14849.7,--,115.54,0.78,2.86,14.93,2396.16,--,24155.12,41.8,177.25,30.41,2.41,2.24
2013-03-31,9.87,8.14,324.51,20977.55,14358.56,--,109.22,0.76,--,--,2313.42,1727.75,--,--,87.63,30.35,2.45,2.77
2012-12-31,10.75,8.13,314.53,19261.94,13846.1,--,105.23,0.76,3.2,17.39,2172.19,1642.88,20200.11,36.01,259.58,25.17,2.94,2.75
2012-09-30,--,--,339.21,18557.76,13459.09,--,96.62,0.72,--,--,--,--,--,--,203.45,26.2,3.26,3.09
2012-06-30,11.36,8.41,352.36,18109.63,13032.57,--,89.76,0.69,3.4,17.94,2005.24,1485.29,17655.27,61.2,135.85,26.4,3.14,2.93
2012-03-31,--,--,360.44,16901.25,12477.35,--,83.85,0.67,--,--,--,--,--,--,60.65,24.23,3.57,3.47
2011-12-31,10.86,7.87,357.29,16447.38,12052.21,--,75.39,0.63,3.86,20.93,1740.34,1260.86,16023.01,40.9,175.47,21.3,3.14,2.96
2011-09-30,--,--,355.44,15352.61,11597.51,--,71.39,0.62,--,--,--,--,--,--,135.12,22.44,3.36,3.28
2011-06-30,10.73,7.75,334.3,15365.86,11422.74,--,71.73,0.63,3.24,22.21,1599.2,1156.75,14909.84,25.49,93.11,23.96,3,2.85
2011-03-31,--,--,300.69,14863.35,10881.09,--,71.36,0.66,--,--,--,--,--,--,37.53,21.87,2.9,2.82
2010-12-31,10.44,8.07,270.45,14169.39,10575.71,--,73.39,0.69,4.11,28.45,1337.72,1034.88,12808.47,32.35,88.95,16.24,2.94,2.82
2010-09-30,--,--,259.4,13730.25,9924.49,--,73.97,0.75,--,--,--,--,--,--,70.2,17.53,2.91,2.91
2010-06-30,10.77,8.32,229.42,13195.6,9548.46,--,75.12,0.79,4.32,30.4,1225.86,948.2,11357.69,35.81,49.21,--,2.92,2.8
2010-03-31,--,--,219.05,11236.03,9364.86,--,74.55,0.8,--,--,--,--,--,--,22.86,18.47,3.28,3.25
2009-12-31,10.83,8.92,206.04,11279.38,8829.79,--,73.97,0.84,6.5,34.01,1076.56,887.56,9937.73,34.56,-322.4,--,2.59,2.49
2009-09-30,--,--,185.82,10994.83,8935.43,--,72.84,0.82,--,--,--,--,--,--,81.46,27.62,2.61,2.59
2009-06-30,8.48,5.9,169.93,10753.09,9039.34,--,78.01,0.86,9.11,45.76,817.89,572.49,9642.46,39.65,68.45,34.35,2.43,2.31
2009-03-31,--,--,151.4,9242.6,7415.89,--,86.71,1.17,--,--,--,--,--,--,19.22,21.97,2.58,2.53
2008-12-31,9.22,6.6,150.04,7857.86,6583.6,--,79.21,1.2,4.49,27.34,707.67,506.87,7678.95,45.5,43.67,13.24,3.29,3.28
2008-09-30,--,--,123.78,7892.18,6314.2,--,77.34,1.22,--,--,--,--,--,--,44.09,16.24,3.27,3.25
2008-06-30,9.21,6.57,114.2,7604.04,6120.51,--,73.9,1.21,4.58,25.61,656.76,468.15,7128.1,38.51,29.39,16.83,3.19,3.19
2008-03-31,--,--,119.83,7064.63,5828.41,--,67.87,1.16,--,--,--,--,--,--,10.64,13.88,2.95,2.96
2007-12-31,10.73,7.4,113.1,6712.19,5549.59,--,67.73,1.22,3.75,28.17,615.13,427.3,5735.14,34.94,26.37,10.46,2.93,2.91
2007-09-30,--,--,155.57,6872.64,5564.9,--,53.28,0.96,--,--,--,--,--,--,19.71,10.97,2.67,2.6
2007-06-30,10.84,7.64,118.17,6418.31,5418.85,--,59.65,1.1,5.21,34.3,573.93,404.51,5294.74,35.49,12.1,10.72,2.66,2.6
2007-03-31,--,--,123.37,5812.01,4743.69,--,57.39,1.21,--,--,--,--,--,--,3.56,7.26,2.67,2.62
2006-12-31,8.12,4.35,116.62,5833.15,4474.47,--,55.02,1.23,5.88,43.74,343.55,184.49,4230.74,51.42,10.09,5.87,2.62,2.58
2006-09-30,--,--,124.84,5491.32,4310.05,--,52.3,1.21,--,--,--,--,--,--,145.62,22.05,2.1,2.03
2006-06-30,7.46,4.42,116.5,5349.51,4264.04,--,50.83,1.19,5.56,48.58,280.2,165.81,3754.55,39.45,147.88,23.37,2.01,1.94
2006-03-31,--,--,--,4933.4,3976.32,--,--,--,--,--,--,--,--,--,6.38,--,1.99,1.94
2005-12-31,8.26,4.8,103.39,4888.33,3780.72,--,48.28,1.28,4.92,43.6,262.26,152.81,3176.53,45.77,29.42,--,1.97,1.93
2005-09-30,--,--,109.84,4511.94,3552.16,--,48.13,1.35,--,--,--,--,--,--,7.41,--,2.01,1.97
2005-06-30,8.05,4.85,41.09,4401.05,3177.53,--,120.8,1.44,5.33,47.98,224.97,135.64,2794.26,79.48,14.12,--,1.96,1.92
2005-03-31,--,--,--,4028.16,2934.99,--,--,--,--,--,--,--,--,--,6.88,--,1.91,1.88
2004-12-31,8.59,5.04,112.52,3800.44,2883.62,--,37.75,1.31,5.62,46.51,213.39,125.6,2485.06,59.37,27.2,--,1.71,1.68
2004-09-30,--,--,--,3604.07,2650.36,--,--,--,--,--,--,--,--,--,6.04,--,1.69,1.66
2004-06-30,--,--,132,3371.42,2495.64,--,32.04,1.28,5.29,49.63,--,--,--,53.6,4.1,--,1.64,1.61
2004-03-31,--,--,--,3020.35,2324.77,--,--,--,--,--,--,--,--,--,0.88,--,1.58,1.54
2003-12-31,8.62,--,59.11,2746.44,2017.73,--,57.36,1.29,7.7,49.12,--,--,--,76.1,12.06,--,--,--
2003-09-30,--,--,--,2526.98,1922.33,--,--,--,--,--,--,--,--,--,--,--,--,--
2003-06-30,7.11,--,56.71,2375.2,1703.49,--,51.72,1.74,6.26,60.57,--,--,--,54.8,--,--,--,--
2003-03-31,--,--,--,1916.73,1412.06,--,--,--,--,--,--,--,--,--,--,--,--,--
2002-12-31,8.22,--,41.06,1847.05,1283.46,--,59.8,2.04,4.94,49.37,--,--,--,64.46,--,--,--,--
2002-09-30,--,--,82.81,1615.92,1160.48,--,27.38,2.36,4.91,49.09,--,--,--,--,--,--,--,--
2002-06-30,8.7,--,33.69,1367.65,1124.01,--,64.79,2.61,13.65,81.52,--,--,--,39.08,--,--,--,--
2002-03-31,--,--,--,988.58,793.37,--,--,--,--,--,--,--,--,--,--,--,--,--
2001-12-31,10.1,--,25.14,1039.82,735.64,--,75.9,2.8,8.2,61.4,--,--,--,44.5,--,--,--,--
2001-09-30,--,--,--,846.85,618.45,--,--,--,--,--,--,--,--,--,--,--,--,--
2001-06-30,15.31,--,15.81,748.2,472.25,--,37.54,3.93,6.93,49.21,--,--,--,55.4,--,--,--,--
2001-03-31,--,--,--,604.28,416.99,--,--,--,--,--,--,--,--,--,--,--,--,--
2000-12-31,21.45,--,6.11,527.15,349.09,--,76.91,4.39,3.62,29.28,--,--,--,51.75,--,--,--,--
2000-06-30,10.48,--,--,--,--,--,--,--,11.4,79.99,--,--,--,44.31,--,--,--,--
1999-12-31,13.21,--,--,290.62,167.85,--,--,--,7.54,57.45,--,--,--,66.49,--,--,--,--
1998-12-31,18.54,--,--,185.48,111.42,--,--,--,7.82,56.33,--,--,--,83.29,--,--,--,--
1997-12-31,26.1,--,--,--,--,--,--,--,7.12,34.41,--,--,--,62.08,--,--,--,--
