date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,21879.44,1.36,3.3902
2015-06-30,21744.34,1.28,3.1315
2015-03-31,20843.05,1.18,2.8868
2014-12-31,20283.8,1.06,2.6507
2014-09-30,19717.35,0.96,2.5784
2014-06-30,18983.44,0.93,2.4877
2014-03-31,18367.56,0.77,2.4915
2013-12-31,17674.94,0.74,2.3621
2013-09-30,17265.81,0.69,2.395
2013-06-30,16782.86,0.67,2.3335
2013-03-31,16169.99,0.59,2.3072
2012-12-31,15445.53,0.58,2.3144
2012-09-30,15127.34,0.58,2.2219
2012-06-30,14524.37,0.53,2.1915
2012-03-31,13898.7,0.48,2.2087
2011-12-31,13314.36,0.44,2.1865
2011-09-30,12812.74,0.4,1.9264
2011-06-30,12374.07,0.42,1.9169
2011-03-31,11879.4,0.44,1.9119
2010-12-31,11464.89,0.51,1.9518
2010-09-30,10793.57,0.6,1.8506
2010-06-30,10506.1,0.62,1.86
2010-03-31,9901.48,0.71,1.9298
2009-12-31,9288.55,0.8,1.9752
2009-09-30,9035.72,0.93,1.9794
2009-06-30,9387.18,0.9,1.9481
2009-03-31,8542.61,0.96,2.0959
