公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2014-07-11,2013,--,--,2.52,2014-07-16,2014-07-17,--
2013-07-12,2012,--,--,1.50,2013-07-17,2013-07-18,--
2012-07-13,2011,0,0,1.45,2012-07-18,2012-07-19,--
2011-11-07,2011,0,0,0.55,2011-11-10,2011-11-11,--
2010-07-16,2009,0,0,0.88,2010-07-21,2010-07-22,--
2009-07-17,2008,0,0,0.85,2009-07-22,2009-07-23,--
2008-06-18,2007,0,0,0.54,2008-06-24,2008-06-25,--
