date,diverse
2008-03-31,-55102.54
2009-04-30,-55102.54
2010-03-31,-18367.51
2010-11-29,486427.99049999996
2011-04-29,-59378.66
2012-04-28,-89068.0
2013-04-26,-120538.69
2014-04-30,-136570.93
2015-06-19,800000
2015-07-29,-168297.78
