公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-05-21,2014,--,--,5.70,2015-05-26,2015-05-27,--
2014-07-12,2013,--,--,4.60,2014-07-17,2014-07-18,--
2013-06-26,2012,5,0,5.70,2013-07-02,2013-07-03,2013-07-04
2012-04-26,2011,0,0,3.70,2012-05-04,2012-05-07,--
2011-04-28,2010,0,8,4.60,2011-05-05,2011-05-06,2011-05-09
2010-04-06,2009,0,0,5.00,2010-04-09,2010-04-12,--
2009-06-05,2008,0,0,4.50,2009-06-10,2009-06-11,--
2008-05-19,2007,0,0,3.20,2008-05-26,2008-05-27,--
2007-05-15,2006,0,0,2.60,2007-05-18,2007-05-21,--
