公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-07-08,2014,0,2,4.50,2015-07-14,2015-07-15,2015-07-15
2014-07-05,2013,--,--,4.00,2014-07-10,2014-07-11,--
2013-07-05,2012,--,--,2.50,2013-07-11,2013-07-12,--
2012-06-01,2011,0,0,2.00,2012-06-07,2012-06-08,--
2011-06-03,2010,0,0,2.00,2011-06-09,2011-06-10,--
2010-05-05,2009,0,0,2.00,2010-05-11,2010-05-12,--
2009-05-21,2008,0,0,2.00,2009-05-26,2009-05-27,--
2008-05-23,2007,0,0,2.00,2008-05-28,2008-05-29,--
