公告日期,融资类型,证券种类,公开发行,融资金额(万元),实施进展
2014-07-26,增发,,否,--,实施
2013-01-16,次级定期债券,次级定期债券,是,--,实施
2012-06-06,次级定期债券,次级定期债券,是,--,实施
2011-09-27,次级定期债券,次级定期债券,是,--,实施
2010-07-29,配股,A股,是,0,实施
2010-07-29,配股,港股,是,0,实施
2010-03-26,可转换企业债,可转换债,是,"2,500,000",实施
2008-08-22,次级定期债券,次级定期债券,是,"10,000,000",实施
