公告日期,融资类型,证券种类,公开发行,融资金额(万元),实施进展
2014-05-09,增发,,否,--,实施
2013-04-27,次级定期债券,次级定期债券,是,--,实施
2012-08-30,次级定期债券,次级定期债券,是,--,实施
2011-03-11,公司债券,普通企业债,是,"1,000,000",董事会批准
2011-01-07,次级定期债券,次级定期债券,是,"4,000,000",实施
