date,diverse
2008-04-23,-50000.0
2009-04-28,-50000.0
2010-02-26,-50000.0
2010-10-19,439475
2011-04-27,-57676.41
2012-04-26,-57676.41
2013-04-24,-72095.51
2014-04-26,-115352.82
2014-09-30,309277
2015-04-28,-146242.28
