公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-05-27,2014,--,--,1.86,2015-06-02,2015-06-03,--
2014-07-10,2013,--,--,1.72,2014-07-16,2014-07-17,--
2013-05-31,2012,--,--,0.58,2013-06-05,2013-06-06,--
2012-05-25,2011,0,0,1.33,2012-05-30,2012-05-31,--
2011-06-10,2010,0,0,0.95,2011-06-15,2011-06-16,--
