date,diverse
2000-06-30,-36150.0
2002-08-17,-48200.0
2003-06-17,-39150.0
2004-02-27,-43065.0
2005-02-26,-46980.0
2006-03-02,-50895.0
2006-11-15,600000
2007-03-24,-65323.24
2008-02-28,-69678.12
2009-04-10,-130210.99
2009-09-28,1500000
2010-04-07,-132450.68
2010-10-14,3945927
2011-03-30,-229581.19
2012-03-16,-559604.14
2013-03-14,-1025940.93
2014-03-20,-1231129.11
2015-03-19,-1412067.79
