公告日期,融资类型,证券种类,公开发行,融资金额(万元),实施进展
2014-06-07,增发,,否,--,实施
2014-04-01,普通金融债券,金融债,是,--,实施
2013-08-13,次级定期债券,次级定期债券,是,--,实施
2012-03-06,增发,A股,否,--,实施
2011-03-29,普通金融债券,金融债,是,--,实施
2011-01-08,次级定期债券,次级定期债券,是,"1,000,000",实施
2010-03-22,次级定期债券,次级定期债券,是,--,实施
2009-11-23,配股,A股,是,"1,800,000",实施
2009-03-17,普通金融债券,金融债,是,"5,000,000",董事会修改方案
2008-12-23,次级定期债券,次级定期债券,是,"1,000,000",实施
2007-08-20,普通金融债券,金融债,是,"1,500,000",实施
2007-03-22,普通金融债券,金融债,是,"1,600,000",实施
