公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-06-25,2014,--,--,6.70,2015-07-02,2015-07-03,--
2014-07-03,2013,--,--,6.20,2014-07-10,2014-07-11,--
2013-06-04,2012,--,--,6.30,2013-06-07,2013-06-13,--
2012-06-01,2011,0,0,4.20,2012-06-06,2012-06-07,--
2011-06-03,2010,0,0,2.90,2011-06-09,2011-06-10,--
2010-06-25,2009,0,0,2.10,2010-06-30,2010-07-01,--
2009-06-29,2008,3,0,1.00,2009-07-02,2009-07-03,2009-07-06
2008-07-22,2007,0,0,2.80,2008-07-25,2008-07-28,--
2007-06-28,2006,0,0,1.20,2007-07-03,2007-07-04,--
2006-09-15,2006,0,0,1.80,2006-09-20,2006-09-21,--
2006-06-12,2005,0,0,0.80,2006-06-15,2006-06-16,--
2005-06-14,2004,0,5,1.10,2005-06-17,2005-06-20,2005-06-21
2004-04-28,2003,0,2,0.92,2004-05-10,2004-05-11,2004-05-12
2003-07-08,2002,0,0,1.20,2003-07-15,2003-07-16,--
