公告日期,融资类型,发行数量(万股),募资总额(万元),发行价格,发行方式,股权登记日,新股上市日
2014-09-30,增发,"36,601","309,277",8.45,"采用非公开的发行方式。,向非控股股东宁波开发投资集团有限公司、 新加坡华侨银行有限公司非公开发行股份。",2014-09-30,
2010-10-22,增发,"38,382","439,475",11.45,"采取非公开发行方式。,向持有发行人5%以上股份的股东宁波市电力开发公司（与宁波市财政局为一致行动人）、境外战略投资者新加坡华侨银行有限公司、境内战略投资者雅戈尔集团股份有限公司、境内战略投资宁波富邦控股集团有限公司与境内战略投资者华茂集团股份有限公司。",2010-10-19,
