公告日期,融资类型,证券种类,公开发行,融资金额(万元),实施进展
2014-11-26,增发,A股,否,--,证监会批准
2014-04-30,增发,,否,--,实施
2013-04-12,普通金融债券,金融债,是,--,实施
2012-12-22,次级定期债券,次级定期债券,是,--,实施
2011-03-30,次级定期债券,次级定期债券,是,"1,840,000",实施
2010-08-30,普通金融债券,金融债,是,--,实施
2010-03-11,增发,A股,否,"3,945,927",实施
2009-04-10,增发,A股,否,"1,500,000",实施
2009-04-10,次级定期债券,次级定期债券,是,"1,500,000",董事会取消方案
2008-10-30,混合资本债券,金融债,是,"1,000,000",董事会取消方案
2008-10-30,次级定期债券,次级定期债券,是,"820,000",实施
2008-02-28,增发,A股,是,0,董事会取消方案
2007-04-28,次级定期债券,次级定期债券,是,"600,000",实施
2007-04-28,普通金融债券,金融债,是,"1,500,000",董事会取消方案
2006-05-30,次级定期债券,次级定期债券,是,"260,000",实施
2005-08-26,次级定期债券,次级定期债券,是,"200,000",实施
2005-05-27,普通金融债券,金融债,是,"700,000",实施
2004-04-28,增发,A股,是,"600,000",实施
2003-11-12,可转换企业债,可转换债,是,"600,000",董事会取消方案
2001-09-06,增发,A股,是,--,实施
