公告日期,融资类型,证券种类,公开发行,融资金额(万元),实施进展
2014-07-16,增发,A股,否,--,实施
2014-07-16,增发,,否,--,银监会批准
2014-04-03,次级定期债券,次级定期债券,是,--,实施
2013-09-09,增发,A股,否,--,实施
2013-04-24,次级定期债券,次级定期债券,是,--,实施
2011-10-26,普通金融债券,金融债,是,--,股东大会批准
2011-08-18,增发,A股,否,--,董事会取消方案
2011-04-22,混合资本债券,金融债,是,"365,000",实施
2010-09-15,增发,A股,否,"2,908,048",实施
2010-09-02,增发,A股,否,0,董事会修改方案
2009-06-13,增发,A股,否,"1,068,300",实施
2008-09-26,普通金融债券,金融债,是,"1,000,000",董事会取消方案
2008-07-18,次级定期债券,次级定期债券,是,"150,000",实施
2007-12-03,增发,A股,否,"421,800",董事会取消方案
2007-08-16,次级定期债券,次级定期债券,是,"650,000",实施
2007-06-16,混合资本债券,金融债,是,"150,000",实施
2007-06-16,次级定期债券,次级定期债券,是,"800,000",董事会修改方案
