公告日期,配股方案,配股价,配股对象,实际配股数,配股前总股本,实际配股比例,配股上市日
2013-08-23,10配1.74,9.29,全体股东,"296,281.35万","1,766,613.09万",1.68%,2013-09-11
2010-03-02,10配1.30,8.85,全体股东,"200,724.09万","1,565,889.00万",1.28%,2010-03-19
