公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-06-16,2014,--,--,7.57,2015-06-19,2015-06-23,--
2014-06-17,2013,--,--,6.60,2014-06-23,2014-06-24,--
2013-05-27,2012,--,--,5.50,2013-05-31,2013-06-03,--
2012-06-19,2011,0,0,3.00,2012-06-25,2012-06-26,--
2011-05-30,2010,3,0,1.60,2011-06-02,2011-06-03,2011-06-07
2010-06-04,2009,3,0,1.50,2010-06-09,2010-06-10,2010-06-11
2009-06-03,2008,4,0,2.30,2009-06-08,2009-06-09,2009-06-10
2008-04-18,2007,3,0,1.60,2008-04-23,2008-04-24,2008-04-25
2007-07-13,2006,0,0,1.50,2007-07-17,2007-07-18,--
2006-05-19,2005,0,0,1.30,2006-05-24,2006-05-25,--
2005-04-30,2004,0,0,1.20,2005-05-11,2005-05-12,--
2004-05-15,2003,0,0,1.10,2004-05-19,2004-05-20,--
2003-06-17,2002,0,0,1.00,2003-06-20,2003-06-23,--
2002-08-17,2001,0,5,2.00,2002-08-21,2002-08-22,2002-08-23
2000-07-01,1999,0,0,1.50,2000-07-05,2000-07-06,--
