公告日期,融资类型,发行数量(万股),募资总额(万元),发行价格,发行方式,股权登记日,新股上市日
2011-04-28,增发,"185,920","2,020,948",10.87,"采取非公开的发行方式。,向非控股股东首钢总公司、英大国际控股集团有限公司和德意志银行卢森堡股份有限公司定向配售。",2011-04-26,
2008-10-22,增发,"79,053","1,155,752",14.62,"采取非公开发行方式。,向首钢总公司、国家电网公司、德意志银行股份有限公司三家股东发行。",2008-10-20,
