公告日期,融资类型,证券种类,公开发行,融资金额(万元),实施进展
2015-12-12,增发,,否,--,董事会批准
2014-11-08,增发,,否,--,股东大会批准
2014-11-08,增发,A股,否,--,董事会批准
2014-08-29,普通金融债券,金融债,是,--,股东大会批准
2014-08-29,次级定期债券,次级定期债券,是,--,中国人民银行批准
2013-03-29,次级定期债券,次级定期债券,是,--,实施
2012-05-03,普通金融债券,金融债,是,--,实施
2011-03-26,普通企业债券,普通企业债,是,0,股东大会批准
2011-02-26,可转换企业债,可转换债,是,--,实施
2011-02-26,增发,港股,是,--,实施
2011-01-08,增发,A股,否,--,董事会取消方案
2010-12-28,次级定期债券,次级定期债券,是,"1,000,000",实施
2009-06-06,增发,港股,是,0,实施
2009-04-23,次级定期债券,次级定期债券,是,"580,000",实施
2009-04-23,普通金融债券,金融债,是,--,实施
2008-11-04,混合资本债券,金融债,是,"500,000",实施
2008-01-30,分离式可转债券,分离式可转债,是,"1,500,000",董事会取消方案
2006-07-18,增发,A股,否,0,实施
2006-03-22,普通金融债券,金融债,是,"3,000,000",实施
2006-01-24,普通金融债券,金融债,是,"430,000",实施
2005-12-21,次级定期债券,次级定期债券,是,"140,000",实施
2005-11-22,普通金融债券,金融债,是,"3,000,000",实施
2005-10-19,次级定期债券,次级定期债券,是,"160,000",董事会修改方案
2003-12-09,增发,港股,是,0,董事会取消方案
2001-10-17,可转换企业债,可转换债,是,"400,000",实施
