公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-06-29,2014,--,--,2.55,2015-07-06,2015-07-07,--
2014-06-13,2013,--,--,2.62,2014-06-19,2014-06-20,--
2013-06-19,2012,--,--,2.39,2013-06-25,2013-06-26,--
2012-06-07,2011,0,0,2.03,2012-06-13,2012-06-14,--
2011-06-08,2010,0,0,1.84,2011-06-14,2011-06-15,--
2010-05-20,2009,0,0,1.70,2010-05-26,2010-05-27,--
2009-05-27,2008,0,0,1.65,2009-06-03,2009-06-04,--
2008-06-11,2007,0,0,1.33,2008-06-17,2008-06-18,--
2007-06-15,2006,0,0,0.16,2007-06-20,2007-06-21,--
