公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-07-29,0.5000,0.0000,0.0000,2015-09-22,"168,297.78",2015-09-23,[详情]
2014-04-30,0.4600,0.0000,0.0000,2014-07-24,"136,570.93",2014-07-25,[详情]
2013-04-26,0.4060,0.0000,0.0000,2013-07-17,"120,538.69",2013-07-18,[详情]
2012-04-28,0.3000,0.0000,0.0000,2012-06-15,"89,068.00",2012-06-18,[详情]
2011-04-29,0.2000,0.0000,0.0000,2011-06-14,"59,378.66",2011-06-15,[详情]
2010-11-11,0.0000,0.0000,0.0000,2010-11-15,0.00,2010-11-24,[详情]
2010-03-31,0.1000,0.3000,0.0000,2010-06-08,"18,367.51",2010-06-09,[详情]
2009-04-30,0.3000,0.0000,0.0000,2009-06-15,"55,102.54",2009-06-16,[详情]
2008-03-31,0.3000,0.0000,0.0000,2008-08-01,"55,102.54",2008-08-04,[详情]
