公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-03-27,0.2700,0.0000,0.0000,2015-06-02,"2,005,093.62",2015-06-03,[详情]
2014-03-31,0.2600,0.0000,0.0000,2014-07-10,"1,930,830.89",2014-07-11,[详情]
2013-03-28,0.2400,0.0000,0.0000,2013-07-10,"1,782,305.44",2013-07-11,[详情]
2012-03-29,0.1000,0.0000,0.0000,2012-05-30,"618,856.06",2012-05-31,[详情]
2011-03-31,0.0200,0.1000,0.0000,2011-07-18,"112,519.28",2011-07-19,[详情]
2010-08-19,0.1000,0.0000,0.0000,2010-09-10,"527,999.71",2010-09-13,[详情]
2010-06-07,0.0000,0.0000,0.0000,2010-06-09,0.00,2010-06-23,[详情]
2010-03-31,0.1000,0.0000,0.0000,2010-05-05,"489,943.84",2010-05-06,[详情]
2009-08-20,0.1000,0.0000,0.0000,2009-09-18,"489,943.84",2009-09-21,[详情]
2009-03-19,0.1000,0.0000,0.0000,2009-05-26,"489,943.84",2009-05-27,[详情]
2008-08-27,0.1000,0.0000,0.0000,2008-09-24,"489,943.84",2008-09-25,[详情]
2008-03-20,0.1500,0.0000,0.0000,2008-06-19,"734,915.76",2008-06-20,[详情]
2007-07-02,0.1000,0.0000,0.0000,-,"489,943.84",-,[详情]
