公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-03-19,0.7570,0.0000,0.0000,2015-06-19,"1,412,067.79",2015-06-23,[详情]
2014-03-20,0.6600,0.0000,0.0000,2014-06-23,"1,231,129.11",2014-06-24,[详情]
2013-03-14,0.5500,0.0000,0.0000,2013-05-31,"1,025,940.93",2013-06-03,[详情]
2012-03-16,0.3000,0.0000,0.0000,2012-06-25,"559,604.14",2012-06-26,[详情]
2011-03-30,0.1600,0.3000,0.0000,2011-06-02,"229,581.19",2011-06-03,[详情]
2010-04-07,0.1500,0.3000,0.0000,2010-06-09,"132,450.68",2010-06-10,[详情]
2009-04-10,0.2300,0.4000,0.0000,2009-06-08,"130,210.99",2009-06-09,[详情]
2008-02-28,0.1600,0.3000,0.0000,2008-04-23,"69,678.12",2008-04-24,[详情]
2007-03-24,0.1500,0.0000,0.0000,2007-07-17,"65,323.24",2007-07-18,[详情]
2006-03-02,0.1300,0.0000,0.0000,2006-05-24,"50,895.00",2006-05-25,[详情]
2005-02-26,0.1200,0.0000,0.0000,2005-05-11,"46,980.00",2005-05-12,[详情]
2004-02-27,0.1100,0.0000,0.0000,2004-05-19,"43,065.00",2004-05-20,[详情]
2003-06-17,0.1000,0.0000,0.0000,2003-06-20,"39,150.00",2003-06-23,[详情]
2002-08-17,0.2000,0.0000,0.5000,2002-08-21,"48,200.00",2002-08-22,[详情]
2000-06-30,0.1500,0.0000,0.0000,2000-07-05,"36,150.00",2000-07-06,[详情]
