公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-04-28,0.2500,0.2000,0.0000,2015-07-16,"264,004.79",2015-07-17,[详情]
2014-04-29,0.1800,0.2000,0.0000,2014-07-16,"158,402.87",2014-07-17,[详情]
2013-04-26,0.4000,0.0000,0.0000,2013-07-19,"352,006.38",2013-07-22,[详情]
2012-04-24,0.2000,0.2000,0.0000,2012-07-10,"146,669.33",2012-07-11,[详情]
2011-04-09,0.2160,0.0000,0.0000,2011-06-10,"134,515.34",2011-06-13,[详情]
2010-04-28,0.1800,0.0000,0.0000,2010-07-19,"112,096.11",2010-07-20,[详情]
2009-04-28,0.1800,0.0000,0.0000,2009-07-17,"112,096.11",2009-07-20,[详情]
2008-04-07,0.1200,0.0000,0.0000,2008-07-21,"74,730.74",2008-07-22,[详情]
