公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-03-27,0.2554,0.0000,0.0000,2015-07-06,"9,102,615.81",2015-07-07,[详情]
2014-03-28,0.2617,0.0000,0.0000,2014-06-19,"9,195,868.63",2014-06-20,[详情]
2013-03-28,0.2390,0.0000,0.0000,2013-06-25,"8,356,458.75",2013-06-26,[详情]
2012-03-30,0.2030,0.0000,0.0000,2012-06-13,"7,091,062.79",2012-06-14,[详情]
2011-03-31,0.1840,0.0000,0.0000,2011-06-14,"6,421,952.70",2011-06-15,[详情]
2010-11-11,0.0000,0.0000,0.0000,2010-11-15,0.00,2010-11-24,[详情]
2010-03-26,0.1700,0.0000,0.0000,2010-05-26,"5,678,320.45",2010-05-27,[详情]
2009-03-26,0.1650,0.0000,0.0000,2009-06-03,"5,511,311.03",2009-06-04,[详情]
2008-03-26,0.1330,0.0000,0.0000,2008-06-17,"4,442,450.71",2008-06-18,[详情]
2007-04-04,0.0160,0.0000,0.0000,2007-06-20,"534,430.16",2007-06-21,[详情]
