公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-04-28,0.5700,0.0000,0.0000,2015-05-26,"1,085,983.19",2015-05-27,[详情]
2014-04-01,0.4600,0.0000,0.0000,2014-07-17,"876,407.49",2014-07-18,[详情]
2013-04-23,0.5700,0.5000,0.0000,2013-07-02,"723,988.80",2013-07-03,[详情]
2012-03-20,0.3700,0.0000,0.0000,2012-05-04,"399,097.21",2012-05-07,[详情]
2011-03-29,0.4600,0.0000,0.8000,2011-05-05,"275,652.73",2011-05-06,[详情]
2010-05-20,0.0000,0.0000,0.0000,2010-05-24,0.00,2010-06-02,[详情]
2010-03-04,0.5000,0.0000,0.0000,2010-04-09,"250,000.00",2010-04-12,[详情]
2009-04-28,0.4500,0.0000,0.0000,2009-06-10,"225,000.00",2009-06-11,[详情]
2008-03-20,0.3200,0.0000,0.0000,2008-05-26,"160,000.00",2008-05-27,[详情]
2007-03-28,0.2600,0.0000,0.0000,2007-05-18,"130,000.00",2007-05-21,[详情]
