公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-03-19,0.6700,0.0000,0.0000,2015-07-02,"1,689,729.66",2015-07-03,[详情]
2014-03-29,0.6200,0.0000,0.0000,2014-07-10,"1,563,630.43",2014-07-11,[详情]
2013-08-23,0.0000,0.0000,0.0000,2013-08-27,0.00,2013-09-05,[详情]
2013-03-29,0.6300,0.0000,0.0000,2013-06-07,"1,359,326.36",2013-06-13,[详情]
2012-03-29,0.4200,0.0000,0.0000,2012-06-06,"906,217.57",2012-06-07,[详情]
2011-04-01,0.2900,0.0000,0.0000,2011-06-09,"625,721.66",2011-06-10,[详情]
2010-04-14,0.2100,0.0000,0.0000,2010-06-30,"453,108.79",2010-07-01,[详情]
2010-03-02,0.0000,0.0000,0.0000,2010-03-04,0.00,2010-03-15,[详情]
2009-04-25,0.1000,0.3000,0.0000,2009-07-02,"147,072.04",2009-07-03,[详情]
2008-03-19,0.2800,0.0000,0.0000,2008-07-25,"411,800.87",2008-07-28,[详情]
2007-04-17,0.1200,0.0000,0.0000,2007-07-03,"176,445.33",2007-07-04,[详情]
2006-07-20,0.1800,0.0000,0.0000,2006-09-20,"221,036.92",2006-09-21,[详情]
2006-04-12,0.0800,0.0000,0.0000,2006-06-15,"98,234.63",2006-06-16,[详情]
2005-03-31,0.1100,0.0000,0.5000,2005-06-17,"75,330.00",2005-06-20,[详情]
2004-02-18,0.0920,0.0000,0.2000,2004-05-10,"52,502.73",2004-05-11,[详情]
2003-07-08,0.1200,0.0000,0.0000,2003-07-15,"68,481.82",2003-07-16,[详情]
