公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-03-28,0.3010,0.0000,0.0000,2015-06-30,"7,525,330.42",2015-07-01,[详情]
2014-03-31,0.3000,0.0000,0.0000,2014-07-09,"7,500,329.32",2014-07-10,[详情]
2013-03-25,0.2680,0.0000,0.0000,2013-06-20,"6,700,294.20",2013-06-21,[详情]
2012-03-26,0.2365,0.0000,0.0000,2012-06-21,"5,912,759.62",2012-06-25,[详情]
2011-03-28,0.2122,0.0000,0.0000,2011-06-23,"5,305,232.94",2011-06-24,[详情]
2010-11-02,0.0000,0.0000,0.0000,2010-11-04,0.00,2010-11-15,[详情]
2010-03-29,0.2020,0.0000,0.0000,2010-07-07,"4,720,519.50",2010-07-08,[详情]
2009-03-28,0.0837,0.0000,0.0000,2009-06-23,"1,955,977.63",2009-06-24,[详情]
2008-08-23,0.1105,0.0000,0.0000,2008-11-14,"2,582,264.38",2008-11-17,[详情]
2008-04-12,0.0650,0.0000,0.0000,2008-06-23,"1,518,979.05",2008-06-24,[详情]
