公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-04-17,0.4350,0.0000,0.2000,2015-07-07,"387,351.99",2015-07-08,[详情]
2014-04-18,0.4350,0.0000,0.0000,2014-07-09,"387,351.99",2014-07-10,[详情]
2013-04-26,0.4700,0.0000,0.3000,2013-07-23,"321,937.11",2013-07-24,[详情]
2012-03-27,0.2500,0.0000,0.0000,2012-05-17,"171,243.14",2012-05-18,[详情]
2011-03-26,0.2000,0.0000,0.0000,2011-04-20,"99,810.57",2011-04-21,[详情]
2010-03-26,0.1300,0.0000,0.0000,2010-05-19,"64,876.87",2010-05-20,[详情]
2009-04-21,0.1300,0.0000,0.0000,2009-06-15,"64,876.87",2009-06-16,[详情]
2008-03-18,0.1100,0.0000,0.0000,2008-05-05,"46,200.00",2008-05-06,[详情]
2007-03-14,0.1100,0.0000,0.0000,2007-04-16,"46,200.00",2007-04-17,[详情]
2006-02-17,0.1100,0.0000,0.0000,2006-03-30,"46,200.00",2006-03-31,[详情]
2005-04-19,0.1000,0.0000,0.0000,2005-06-01,"42,000.00",2005-06-02,[详情]
2004-03-29,0.0100,0.0000,0.2000,2004-05-20,"3,500.00",2004-05-21,[详情]
2003-10-29,0.3530,0.0000,0.0000,2003-11-03,"123,550.00",2003-11-04,[详情]
