公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-03-13,0.1740,0.0000,0.2000,2015-04-10,"198,793.17",2015-04-13,[详情]
2014-03-07,0.1600,0.0000,0.2000,2014-06-11,"152,331.93",2014-06-12,[详情]
2013-03-08,0.1700,0.6000,0.0000,2013-06-19,"87,096.96",2013-06-20,[详情]
2012-08-16,0.1000,0.0000,0.0000,2012-10-18,"51,233.50",2012-10-19,[详情]
2008-08-21,0.0335,0.3000,0.0000,2008-10-30,"8,002.46",2008-10-31,[详情]
2007-05-24,0.0090,0.1000,0.0000,2007-06-15,"1,751.24",2007-06-18,[详情]
2003-09-23,0.1500,0.0000,0.0000,2003-09-26,"29,187.33",2003-09-29,[详情]
2002-07-17,0.1500,0.0000,0.0000,2002-07-22,"29,187.33",2002-07-23,[详情]
2000-10-21,0.0000,0.0000,0.0000,2000-11-03,0.00,2000-11-06,[详情]
1999-10-11,0.6000,0.0000,0.0000,1999-10-15,"93,110.83",1999-10-18,[详情]
1997-08-19,0.2000,0.5000,0.0000,1997-08-22,"20,691.28",1997-08-25,[详情]
1996-05-23,0.0000,0.5000,0.5000,1996-05-24,0.00,1996-05-27,[详情]
1995-09-15,0.3000,0.2000,0.0000,1995-09-22,"12,932.06",1995-09-25,[详情]
1994-07-11,0.5000,0.3000,0.2000,1994-07-08,"13,471.78",1994-07-14,[详情]
1993-05-21,0.3000,0.3500,0.5000,1993-05-21,"4,040.90",1993-05-24,[详情]
1991-04-03,0.3000,0.4000,0.0000,-,"1,455.00",1991-05-02,[详情]
