公告日,分红(每股),送股(每股),转股(每股),登记日,派现额度(万元),除权日,备注
2015-03-26,0.1900,0.0000,0.0000,2015-07-02,"5,593,368.03",2015-07-03,[详情]
2014-03-27,0.1960,0.0000,0.0000,2014-06-26,"5,475,545.27",2014-06-27,[详情]
2013-03-27,0.1750,0.0000,0.0000,2013-06-17,"4,885,078.62",2013-06-18,[详情]
2012-03-30,0.1550,0.0000,0.0000,2012-06-12,"4,326,783.72",2012-06-13,[详情]
2011-03-25,0.1460,0.0000,0.0000,2011-06-09,"4,075,549.76",2011-06-10,[详情]
2010-10-29,0.0000,0.0000,0.0000,2010-11-02,0.00,2010-11-11,[详情]
2010-03-24,0.1400,0.0000,0.0000,2010-06-03,"3,553,748.27",2010-06-04,[详情]
2009-03-25,0.1300,0.0000,0.0000,2009-06-25,"3,299,909.11",2009-06-26,[详情]
2008-03-26,0.1000,0.0000,0.0000,2008-06-26,"2,538,391.62",2008-06-27,[详情]
2007-03-23,0.0400,0.0000,0.0000,2007-07-02,"1,015,356.65",2007-07-03,[详情]
