date,bpvs,profit,equity
2015-09-30,6.79,5204000.0,51901100.0
2015-06-30,6.58,3732400.0,48877900.0
2015-03-31,6.6,1897000.0,48991800.0
2014-12-31,6.34,6585000.0,47105500.0
2014-09-30,6.14,5152200.0,45580000.0
2014-06-30,5.93,3677300.0,44050300.0
2014-03-31,5.92,1869000.0,43975600.0
2013-12-31,5.65,6229500.0,41956100.0
2013-09-30,5.5,4870600.0,40866500.0
2013-06-30,5.34,3482700.0,39637100.0
2013-03-31,5.37,1770600.0,39847700.0
2012-12-31,5.12,5837300.0,37991800.0
2012-09-30,4.93,4451300.0,36625200.0
2012-06-30,4.82,3108800.0,29802900.0
2012-03-31,4.65,1588000.0,28804600.0
2011-12-31,4.39,5073500.0,27180200.0
2011-09-30,4.16,3841600.0,25774500.0
2011-06-30,4.4,2639600.0,24754200.0
2011-03-31,4.2,1328000.0,23625100.0
2010-12-31,3.96,3904200.0,22277300.0
2010-09-30,3.82,2953700.0,21510500.0
2010-06-30,3.72,2035700.0,19634800.0
2010-03-31,3.57,1045100.0,17468400.0
2009-12-31,3.34,3007500.0,16384800.0
2009-09-30,3.2,2297000.0,15688300.0
2009-06-30,3.17,1557900.0,15542400.0
2009-03-31,3.11,794600.0,15225000.0
