date,bpvs,profit,equity
2015-09-30,4.62,22176100.0,168002800.0
2015-06-30,4.4,14902100.0,160302500.0
2015-03-31,4.52,7432400.0,161132800.0
2014-12-31,4.33,27581100.0,153085900.0
2014-09-30,4.06,22046400.0,142758100.0
2014-06-30,3.86,14810000.0,135485700.0
2014-03-31,3.87,7330200.0,135848500.0
2013-12-31,3.63,26264900.0,127413400.0
2013-09-30,3.51,20553300.0,123173900.0
2013-06-30,3.35,13834700.0,117150700.0
2013-03-31,3.42,6874300.0,119417500.0
2012-12-31,3.22,23853200.0,112499700.0
2012-09-30,3.07,18560200.0,107335000.0
2012-06-30,2.91,12316000.0,101631800.0
2012-03-31,2.93,6133500.0,102181500.0
2011-12-31,2.74,20826500.0,95674200.0
2011-09-30,2.58,16384000.0,90068200.0
2011-06-30,2.46,10948100.0,85839100.0
2011-03-31,2.5,5378700.0,87096800.0
2010-12-31,2.35,16515600.0,82043000.0
2010-09-30,2.26,12721600.0,75383200.0
2010-06-30,2.11,8460300.0,70427900.0
2010-03-31,2.15,4154700.0,71908900.0
2009-12-31,2.02,12859900.0,67389300.0
2009-09-30,1.93,9990800.0,64621000.0
2009-06-30,1.85,6631300.0,61641600.0
2009-03-31,1.91,3515300.0,63655200.0
