date,bpvs,equity
2015-09-30,14.49,30026500
2015-06-30,13.71,28569600
2015-03-31,13.7,28549400
2014-12-31,13.15,26016900
2014-09-30,12.4,23133600
2014-06-30,11.7,21831200
2014-03-31,11.62,21669900
2013-12-31,10.96,20437500
2013-09-30,10.49,19572900
2013-06-30,10.01,18670400
2013-03-31,10.02,18684800
2012-12-31,9.52,17749700
2012-09-30,9.1,16969405
2012-06-30,8.69,16203033
2012-03-31,8.42,15705572.0
2011-12-31,7.98,14889124
2011-09-30,7.48,13956690
2011-06-30,7.14,13322827
2011-03-31,9,12906622
2010-12-31,8.57,12299634
2010-09-30,7.11,8160123
2010-06-30,6.61,7588244.0
2010-03-31,8.18,7220839
2009-12-31,7.7,6795303.0
2009-09-30,8.2,6503421
2009-06-30,5.91,4680856.0
2009-03-31,7.95,4500094.0
