date,bpvs,profit,equity
2015-09-30,10.5,1391200.0,11216200.0
2015-06-30,10.4,926300.0,11110800.0
2015-03-31,11.83,413600.0,10534800.0
2014-12-31,11.39,1798100.0,10145800.0
2014-09-30,10.81,1317700.0,9626600.0
2014-06-30,10.27,867000.0,9145900.0
2014-03-31,10.07,372200.0,8969400.0
2013-12-31,9.59,1550600.0,8542000.0
2013-09-30,9.2,1113000.0,8196600.0
2013-06-30,9.22,730000.0,8210000.0
2013-03-31,11.37,295012.0,7787527.0
2012-12-31,10.9,1279628.0,7469421.0
2012-09-30,10.39,918039.0,7116105.0
2012-06-30,10.01,607524.0,6858480.0
2012-03-31,9.68,235125.0,6628976.0
2011-12-31,9.33,922193.0,6390108.0
2011-09-30,8.9,653839.0,6092931.0
2011-06-30,8.59,426742.0,5880551.0
2011-03-31,7.45,170775.0,3720277.0
2010-12-31,7.11,598958.0,3549588.0
2010-09-30,6.85,452726.0,3417604.0
2010-06-30,6.54,300754.0,3266288.0
2010-03-31,6.33,130663.0,3158769.0
2009-12-31,6.06,376023.0,3023419.0
2009-09-30,5.83,264252.0,2911924.0
2009-06-30,5.64,166559.0,2815788.0
2009-03-31,5.61,70213.0,2797453.0
