date,bpvs,profit,equity
2015-09-30,3.37,15321000.0,117350500.0
2015-06-30,3.2,10431500.0,112032900.0
2015-03-31,3.21,5411600.0,112367200.0
2014-12-31,3.05,17946100.0,103106600.0
2014-09-30,2.95,15243900.0,95712400.0
2014-06-30,2.79,10403200.0,90621600.0
2014-03-31,2.78,5343000.0,90363200.0
2013-12-31,2.6,16631500.0,84310800.0
2013-09-30,2.55,13798800.0,82717500.0
2013-06-30,2.43,9235200.0,78966800.0
2013-03-31,2.46,4701100.0,79874000.0
2012-12-31,2.31,14509400.0,74981500.0
2012-09-30,2.24,12008300.0,72667400.0
2012-06-30,2.13,8049900.0,69146400.0
2012-03-31,2.14,4345400.0,69379100.0
2011-12-31,2.0,12192700.0,64960100.0
2011-09-30,1.91,10075700.0,62035100.0
2011-06-30,1.81,6666700.0,58933200.0
2011-03-31,1.77,3406700.0,57640000.0
2010-12-31,1.67,9487300.0,54207100.0
2010-09-30,1.63,7014600.0,52810800.0
2010-06-30,1.31,4584000.0,35426300.0
2010-03-31,1.25,2497000.0,37015400.0
2009-12-31,1.2,6499200.0,34281900.0
2009-09-30,1.1,5147900.0,39044500.0
