date,bpvs,profit,equity
2015-09-30,10.98,1774000.0,15713600.0
2015-06-30,10.54,1158500.0,15088000.0
2015-03-31,9.97,562900.0,13670400.0
2014-12-31,11.46,1980200.0,13094900.0
2014-09-30,11.09,1569400.0,12673600.0
2014-06-30,10.59,1007200.0,12094000.0
2014-03-31,12.32,505400.0,11730000.0
2013-12-31,11.77,1523100.0,11208100.0
2013-09-30,11.58,1169600.0,9491300.0
2013-06-30,11.17,753100.0,9154200.0
2013-03-31,17.33,358900.0,8875900.0
2012-12-31,16.55,1340270.0,8479878.0
2012-09-30,15.95,1023789.0,8172589.0
2012-06-30,15.58,676149.0,7982261.0
2012-03-31,14.99,342895.0,7681529.0
2011-12-31,14.31,1027863.0,7331084.0
2011-09-30,13.61,768718.0,6970795.0
2011-06-30,10.95,473175.0,3815240.0
2011-03-31,10.32,240220.0,3595007.0
2010-12-31,9.62,628382.0,3351288.0
2010-09-30,9.22,473394.0,3214414.0
2010-06-30,8.73,303312.0,3042111.0
2010-03-31,7.12,157812.0,2210983.0
2009-12-31,6.59,503073.0,2046961.0
2009-09-30,6.15,363742.0,1908844.0
2009-06-30,5.79,231139.0,1798739.0
2009-03-31,5.5,112208.0,1707213.0
