date,bpvs,equity
2015-09-30,6.29,29418400
2015-06-30,6.05,28300100
2015-03-31,5.79,27081200
2014-12-31,5.55,25967700
2014-09-30,5.35,25009100
2014-06-30,5.11,23928700
2014-03-31,5.09,23795300
2013-12-31,4.82,22560100
2013-09-30,4.7,21982400
2013-06-30,4.51,21110700
2013-03-31,4.44,20796500
2012-12-31,4.24,19835600
2012-09-30,4.17,19492300
2012-06-30,4.02,18789200
2012-03-31,3.92,18329900
2011-12-31,3.73,17449600
2011-09-30,3.62,16927000
2011-06-30,3.46,13511600
2011-03-31,3.25,12690000
2010-12-31,3.08,12017500
2010-09-30,2.99,11666200.0
2010-06-30,2.82,10995100
2010-03-31,2.75,10750200
2009-12-31,2.63,10279800
2009-09-30,2.65,10342300
2009-06-30,2.54,9905900.0
2009-03-31,2.52,9827700
