date,bpvs,profit,equity
2015-09-30,13.84,4850000.0,34896200.0
2015-06-30,13.17,3297600.0,33207500.0
2015-03-31,13.14,1722000.0,33131500.0
2014-12-31,12.47,5591100.0,31440400.0
2014-09-30,11.97,4580400.0,30191500.0
2014-06-30,11.34,3045900.0,28593600.0
2014-03-31,11.23,1494500.0,28333500.0
2013-12-31,10.53,5174300.0,26546500.0
2013-09-30,10.2,3949800.0,25712700.0
2013-06-30,9.84,2627100.0,21234300.0
2013-03-31,9.94,1302100.0,21439700.0
2012-12-31,9.29,4527300.0,20043400.0
2012-09-30,8.85,3479000.0,19088300.0
2012-06-30,8.4,2337700.0,18134700.0
2012-03-31,8.21,1164300.0,17725500.0
2011-12-31,7.65,3612900.0,16499700.0
2011-09-30,7.13,2838800.0,15384800.0
2011-06-30,6.74,1860000.0,14543200.0
2011-03-31,6.62,881000.0,14277700.0
2010-12-31,6.21,2576900.0,13400600.0
2010-09-30,6.17,2058500.0,13310800.0
2010-06-30,5.79,1320300.0,12484100.0
2010-03-31,5.6,590900.0,11821400.0
2009-12-31,4.85,1823500.0,9278300.0
2009-09-30,4.58,1307800.0,8750500.0
2009-06-30,5.72,826200.0,8418500.0
2009-03-31,5.59,420800.0,8217100.0
