date,bpvs,profit,equity
2015-09-30,8.51,1413600.0,10784700.0
2015-06-30,8.15,1003600.0,10325900.0
2015-03-31,9.49,498600.0,10024700.0
2014-12-31,9.08,1562300.0,9590300.0
2014-09-30,8.7,1259200.0,9184900.0
2014-06-30,9.94,884700.0,8750300.0
2014-03-31,9.48,452197.0,8346720.0
2013-12-31,8.88,1345931.0,7811401.0
2013-09-30,8.84,1101405.0,7782736.0
2013-06-30,8.63,780057.0,7595157.0
2013-03-31,8.65,412930.0,7608782.0
2012-12-31,8.14,1167481.0,7161679.0
2012-09-30,7.96,997092.0,7004414.0
2012-06-30,9.2,640089.0,6750131.0
2012-03-31,8.93,337134.0,6549538.0
2011-12-31,8.09,894670.0,5038334.0
2011-09-30,7.74,777348.0,4817720.0
2011-06-30,7.39,509982.0,4599916.0
2011-03-31,7.24,251991.0,4510154.0
2010-12-31,6.83,680303.0,4254598.0
2010-09-30,6.85,594663.0,4265066.0
2010-06-30,6.52,390223.0,4058873.0
2010-03-31,6.41,209208.0,3989009.0
2009-12-31,6.03,563386.0,3755942.0
2009-09-30,5.85,439314.0,3642678.0
2009-06-30,5.68,292378.0,3536742.0
2009-03-31,5.64,150289.0,3515083.0
