date,bpvs,profit,equity
2015-09-30,3.94,13154500.0,125884700.0
2015-06-30,3.81,9074600.0,122008500.0
2015-03-31,3.83,4583800.0,122750900.0
2014-12-31,3.7,16959500.0,114085900.0
2014-09-30,3.6,13113300.0,100537400.0
2014-06-30,3.46,8972400.0,96573300.0
2014-03-31,3.48,4536300.0,97254200.0
2013-12-31,3.31,15691100.0,92391600.0
2013-09-30,3.19,12021000.0,88925900.0
2013-06-30,3.04,8072100.0,84997800.0
2013-03-31,3.1,3981500.0,86405600.0
2012-12-31,2.95,13943200.0,82467700.0
2012-09-30,2.84,10636300.0,79170300.0
2012-06-30,2.71,7160100.0,75619500.0
2012-03-31,2.73,3676300.0,76147200.0
2011-12-31,2.59,12418200.0,72316200.0
2011-09-30,2.49,9630100.0,69406100.0
2011-06-30,2.4,6651300.0,66983800.0
2011-03-31,2.43,3343900.0,67832900.0
2010-12-31,2.31,10441800.0,64416500.0
2010-09-30,2.23,7924400.0,56645500.0
2010-06-30,2.11,5202200.0,53638400.0
2010-03-31,2.14,2617500.0,54196000.0
2009-12-31,2.03,8081900.0,51499200.0
2009-09-30,1.95,6205600.0,49534900.0
2009-06-30,1.87,4100500.0,47469400.0
2009-03-31,1.91,1850900.0,48514900.0
