date,bpvs,profit,equity
2015-09-30,15.87,4122100.0,30242400.0
2015-06-30,15.12,2774400.0,28802300.0
2015-03-31,14.33,1479000.0,27301600.0
2014-12-31,13.54,4713800.0,25793400.0
2014-09-30,12.28,3830400.0,23399000.0
2014-06-30,11.57,2552700.0,22043600.0
2014-03-31,11.27,1336300.0,21463600.0
2013-12-31,10.49,4121100.0,19976900.0
2013-09-30,10.21,3310200.0,19447700.0
2013-06-30,14.51,2163800.0,18430400.0
2013-03-31,14.27,1097700.0,18127600.0
2012-12-31,13.35,3471800.0,16957700.0
2012-09-30,12.78,2634100.0,13788700.0
2012-06-30,12.03,1710200.0,12972200.0
2012-03-31,11.49,828800.0,12395700.0
2011-12-31,10.68,2550500.0,11520900.0
2011-09-30,9.91,1878800.0,10686000.0
2011-06-30,9.38,1223200.0,10117300.0
2011-03-31,16.2,522108.0,9710075.0
2010-12-31,15.35,1852058.0,9199529.0
2010-09-30,14.84,1359536.0,8890740.0
2010-06-30,14.0,876368.0,8392149.0
2010-03-31,12.34,407890.0,6170851.0
2009-12-31,11.92,1328194.0,5959746.0
2009-09-30,11.17,957189.0,5584779.0
2009-06-30,10.62,622320.0,5309120.0
2009-03-31,10.4,294116.0,5199215.0
