时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,11.2,--,189.64,24317.48,17538.5,--,274.87,1.57,--,--,3679.45,--,32839.04,--,243.46,21.67,3.45,4.29
2015-06-30,11.03,--,221.21,24450.22,17229.46,65.87,222.03,1.29,4.38,15.92,3539.32,--,32098.51,38.74,171.38,23.72,2.44,2.22
2015-03-31,11.31,--,227.3,24061.87,16788.1,--,208.33,1.24,--,--,3409.67,--,30154.43,--,72.31,21.14,3.19,3.64
2014-12-31,11.29,8.7,250.21,22677.8,15931.48,64.76,175.44,1.1,8.26,20.44,3287.67,2340.72,29111.25,41.59,293.38,23.49,2.48,2.23
2014-09-30,12.18,9.86,--,22052.28,14921.21,--,147.74,0.99,--,--,3053.22,--,25058.17,--,208.96,23,2.77,2.94
2014-06-30,12.18,9.58,305.74,22465.22,14309.74,63.36,138.75,0.97,8.14,23.03,3007.42,2147.51,24684.1,39.46,143.72,24.19,2.4,2.15
2014-03-31,11.06,9.34,--,20662.84,13672.44,--,114.52,0.84,--,--,2651.98,2033.65,23981.31,--,73.67,25.76,2.61,2.73
2013-12-31,10.83,9.21,352.1,21703.45,13570.57,61.95,103.31,0.76,7.06,23.72,2501.83,1973.2,23104.71,35.79,234.42,21.45,2.44,2.23
2013-09-30,10.89,9.21,--,21112.48,13418.29,--,84.4,0.63,--,--,2429.25,--,--,--,171.93,21.4,2.79,2.84
2013-06-30,11.1,--,410.11,20822.46,13390.77,63.52,76.25,0.57,6.09,26,2426.12,--,21855.44,36.01,112.03,20.95,2.49,2.93
2013-03-31,10.79,--,429.41,20164.26,13031.95,--,63.55,0.49,--,--,2289.2,--,--,--,51.41,20.49,2.81,2.8
2012-12-31,12.06,9.29,465.82,18132.66,12291.65,66.5,52.86,0.43,4.34,21.81,2108.9,1636.39,17374.56,29.47,154.26,17.61,2.64,2.68
2012-09-30,11.12,8.27,430.75,16590.24,11412.94,--,51.55,0.45,--,--,1782.9,1336.18,15946.28,--,105.55,16.62,2.96,2.91
