时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2012-06-30,11.25,8.36,455.95,14997.42,10580.07,69.77,42.12,0.4,3.29,22.11,1688.62,1265.52,14911.3,30.46,66.13,16.04,3.02,2.99
2012-03-31,11.04,8.27,393.01,13719.38,10205.97,--,40.37,0.4,--,--,1584.93,1197.91,14307.26,--,28.46,14.8,2.75,3.03
2011-12-31,11.04,8.2,385.3,13452.79,9832.54,71.46,37.15,0.38,4.45,23.54,1487.15,1115.91,13441.3,30.71,91.36,15.26,2.56,2.59
2011-09-30,10.92,8.08,387.81,12668.3,9583.49,--,32.99,0.34,--,--,1389.58,1039.21,12669.98,--,60.8,14.8,2.54,2.52
2011-06-30,11.22,8.24,379.96,12229.79,9294.74,72.45,32.49,0.35,4.54,26.62,1351.52,1003.91,11998.24,28.7,40.85,15.56,2.39,2.37
2011-03-31,10.71,8.42,341.96,11649.32,8924.78,--,35.46,0.4,--,--,1187.93,944.21,11051.47,--,18.68,16.03,2.2,2.17
2010-12-31,11.22,8.8,325.51,11327.67,8543.39,71.21,36.16,0.42,5.36,30.21,1137.85,885.95,9917.02,38.45,54.24,12.48,2.52,2.49
2010-09-30,11.3,8.79,287.06,10818.71,8255.69,--,39.84,0.48,--,--,1091.17,862.81,9551.97,--,43.58,13.71,2.46,2.45
2010-06-30,11.96,9.29,278.8,10112.57,7924.97,73.76,38.9,0.49,4.68,30.06,1053.83,834.63,8711.98,30.23,27.66,--,2.44,2.43
2010-03-31,10.63,7.59,261.39,9348.24,7486.15,--,39.46,0.53,--,--,851.14,612.01,7935.61,--,11.93,--,2.72,2.68
2009-12-31,10.75,7.91,254.93,9008.84,7015.97,71.9,37.79,0.54,6.53,38.71,770.13,570.89,7130.57,32.07,44.77,--,2.42,2.37
2009-09-30,10.63,7.5,228.44,8461.77,6938.65,--,42.4,0.61,--,--,784.05,557.12,7342.22,--,25.66,12.16,2.39,2.37
2009-06-30,9.21,7.41,218.78,8259.56,6410.33,71.25,43.13,0.67,8.13,40.63,648.44,525.46,6957.84,33.3,17.75,13.23,2.27,2.24
2009-03-31,--,--,229.82,7274.59,5851.56,--,42.39,0.72,--,--,--,--,--,--,7.49,11.65,2.34,2.27
2008-12-31,11.24,8.94,226.58,6324.26,4993.86,70.82,41.49,0.83,2.82,19.77,577.17,463.15,5095.7,41.04,35.23,11.85,2.92,2.84
2008-09-30,11.05,--,168.29,5640.33,4546.52,70.34,48.02,1.06,2.14,18.4,--,--,--,37.65,24.06,11.04,3.1,3.03
2008-06-30,10.85,8.49,174.38,5341.45,4415.24,74.53,46.02,1.04,2.24,18.84,535.27,420.98,4899.24,35.6,18.37,12.45,3.12,3.07
2008-03-31,--,--,--,5013.83,--,--,--,--,--,--,--,--,--,--,9.57,13.27,3.1,3.05
2007-12-31,11.73,8.83,155.21,5053.71,4001.43,68.73,45.83,1.15,4.18,20.94,478.59,362.55,4062.25,39.22,11.58,5.26,2.93,2.88
2007-09-30,--,--,--,4658.28,--,--,--,--,--,--,--,--,--,--,10.45,6.55,2.77,2.71
2007-06-30,11.24,8.12,58.76,4358.28,3780.56,72.31,115.12,1.18,2.59,19.55,463.5,334.87,4087.41,47.67,6.67,6.81,2.67,2.6
2007-03-31,--,--,--,4082.16,--,--,--,--,--,--,--,--,--,--,0.66,--,2.66,2.6
2006-12-31,8.71,4.8,126.02,4231.97,3245.12,72.41,49.8,1.53,4.17,28.52,288.01,158.64,3261.26,37.94,3.99,2.92,2.47,2.42
2006-06-30,7.17,4.61,100.28,3852.19,2922.58,73.49,58.74,2.01,5.49,43.2,218.41,140.41,3046.08,30.64,1.12,-1.88,2.17,2.12
2005-12-31,8.2,4.97,90.44,3552.18,2425.72,64.74,56.52,2.33,5.7,38.98,--,--,--,32.22,4.31,4.43,2.19,2.32
2004-12-31,7.83,4.66,87.01,2831.87,2030.11,67.27,50.75,2.5,6.35,46.37,--,--,--,37.75,1.22,-3.81,2.53,2.63
2003-12-31,8.74,4.37,92.72,2076.83,1569.45,69.69,40.18,2.56,8.57,53.4,--,--,--,46.98,1.57,-2.85,2.49,2.51
2002-12-31,8.14,6.89,79.5,1454.65,995.44,63.47,35.85,3.23,15.26,75.15,--,--,--,43.94,--,--,--,--
