时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,13.65,11.05,153.72,115486.97,90355.9,--,1290.72,1.43,--,--,14509.84,--,--,--,1104.93,30.97,2.14,2.15
2015-06-30,13.69,11.21,157.37,115365.47,88971.54,72.83,1250.53,1.41,2.3,14.2,14162.42,--,103453.6,41.4,761.7,31.8,2.18,2.11
2015-03-31,14.13,11.21,167.05,115559.78,88023.94,71.75,1167.77,1.33,--,--,14459.3,--,--,--,404.4,33.3,2.22,2.15
2014-12-31,13.87,11.04,187.6,108852.23,84832.75,72.97,1004.94,1.18,2.4,14.7,13780.26,--,99341.05,49.9,1352.29,29.63,2.25,2.25
2014-09-30,13.07,10.78,207.7,110472.85,84444.03,71.65,906.95,1.07,--,--,12334.83,--,--,--,1075.59,31.06,2.26,2.26
2014-06-30,12.41,10.45,217.02,111905.69,84245.95,72.29,858.6,1.02,2.3,14.4,12002.97,--,101850.2,51.9,782.49,33.31,2.27,1.97
2014-03-31,12.05,10.32,226.83,110141.96,81583.29,71.21,803.2,0.98,--,--,12083.91,--,--,--,435.71,36.3,2.29,2.22
2013-12-31,12.46,10.73,229.35,100977.86,76077.91,72.52,732.71,0.96,2.1,14.2,11733.47,9136.46,94187.26,48,1239.23,30.41,2.24,2.19
2013-09-30,12.35,10.44,232.9,100455.34,75353.74,--,720.57,0.96,--,--,11466.46,--,--,--,974.04,31.87,2.22,2.18
2013-06-30,12.14,10.47,238.96,98761.96,74396.33,72.63,694.67,0.93,2.2,15,11061.45,8167.81,91145.44,45.1,687.96,33.38,2.23,2.15
2013-03-31,12.3,10.33,244.24,98754.22,73262.52,71.47,663.97,0.91,--,--,11258.2,--,--,--,385.06,36.51,2.22,2.12
2012-12-31,13.63,10.54,236.3,91739.95,68646.96,71.99,654.48,0.95,2.6,16.9,9886.58,7948.73,72532.3,49.8,1091.27,29.81,2.15,2.13
2012-09-30,13.16,10.38,237.19,93431.45,69184.1,--,640.99,0.93,--,--,--,--,--,--,799.91,29.69,2.12,2.15
2012-06-30,13,10.15,232.56,94825.64,67536.64,68.59,635.62,0.94,2.8,18.4,9209.59,7193.18,70850.46,54,555.73,30.94,2.1,2.08
2012-03-31,12.8,9.97,226.67,95170.98,65898.2,--,639.39,0.97,--,--,--,--,--,--,343.58,36.18,2.14,2.1
2011-12-31,12.97,10.07,220.75,88179.61,63428.14,68.77,632.74,1,3.1,18.9,8632.32,7004.87,66560.34,47,1001.02,30.5,2.12,2.2
2011-09-30,12.84,9.92,223.01,79708.46,62483.28,--,618.8,0.99,--,--,--,--,--,--,779.77,31.79,2.1,2.19
2011-06-30,12.95,10.01,217.29,80964.31,62165.24,68.5,619.42,1,3.1,16.1,8481.89,6877.67,65499.27,45.3,558.95,33.65,2.11,1.09
2011-03-31,12.38,9.96,205.99,79980.74,59566.96,--,--,1.04,--,--,--,--,--,--,300.31,35.94,2.11,0.55
2010-12-31,12.58,10.09,196.67,75391.53,56606.21,70.2,624.7,1.1,2.9,20.2,7407.04,6263.71,58871.7,43.2,828.55,29.93,2.07,2.2
2010-09-30,11.73,9.35,198.93,74825.06,55551.71,--,611.45,1.1,--,--,--,--,--,--,616.16,30.44,2.04,1.66
2010-06-30,11.73,9.33,188.44,72620.64,53918.79,70.6,645.91,1.2,3.3,23.4,6576.94,5524.04,56065.87,42.7,411.46,30.93,2.04,1.09
2010-03-31,11.09,9.11,172.09,73411.68,53125.96,--,690.38,1.3,--,--,--,--,--,--,230.5,34.12,2.04,0.55
2009-12-31,11.14,9.07,151.17,66850.49,49103.58,70.3,747.18,2,3.8,28,5750.24,5030.11,51638.48,45.3,733.17,31.58,2.04,2.66
2009-09-30,11.63,9.37,144.66,64519.28,47012.65,--,753.09,1.6,--,--,--,--,--,--,437.36,31.54,2.03,2.24
2009-06-30,11.53,9.43,138.96,63016.58,43134.74,67.3,774.87,1.8,3.9,25.5,5732.69,4905.24,49712.26,51.5,331.34,30.72,2.04,1.93
2009-03-31,12.34,9.88,126.47,59208.4,38072.76,64.3,851.27,2.24,--,--,--,--,--,--,136.95,27.1,2.14,2.22
2008-12-31,13.43,10.81,121.72,51733.52,32961.46,61.3,874.9,2.65,3.4,17.6,5327.93,4439.8,39669.43,48.8,653.52,28.63,2.63,2.45
2008-09-30,13.89,11.04,121.49,50075.43,32901.51,65.7,850.07,2.58,--,--,--,--,--,--,551.42,31.08,2.68,2.92
2008-06-30,13.78,10.85,120.39,49278.41,32428.4,62,837.86,2.58,3.3,17,5426.07,4377.84,39387.4,44.2,375.54,31.54,2.72,2.55
2008-03-31,--,--,114.73,46553.06,30781.68,--,852.52,2.77,--,--,--,--,--,--,137.69,25.84,3.06,2.95
2007-12-31,13.34,10.67,108.18,44001.11,28505.61,64.78,888.02,3.12,3.4,16.1,5006.4,4004.54,37541.1,32.6,279.24,15.46,2.76,2.59
2007-09-30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,269.45,19.59,2.88,2.69
2007-06-30,13.39,11.32,36.93,43510.67,26711.3,61.39,951.96,3.56,3.3,17,5010.55,4237.93,35293.8,36.1,189.96,14.21,2.66,2.49
2007-03-31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84.96,--,2.78,2.71
2006-12-31,13.59,11.44,96,40954.22,24318.06,59.38,982.2,4.04,2.2,15.7,4713.62,3968.55,34690.2,37.7,169.21,12.29,2.44,2.28
2006-09-30,--,--,92.18,40500.27,24416.19,--,985.99,4.04,--,--,--,--,--,--,36.4,13.68,2.42,2.28
2006-06-30,12.4,10.6,87.44,40530.24,24055.36,--,1007.88,4.19,3.9,19.3,4520.27,3876.98,31636.6,32,101.26,15.67,2.26,2.12
2005-12-31,10.42,8.1,80.6,37037.77,22350.46,--,1032.26,4.62,4.7,25.6,3262.37,2529.7,31310,48.9,156.23,13.5,2.32,2.21
2004-12-31,10.04,8.5,68.02,33424.77,21464.62,--,1094.7,5.12,3.4,25.4,2704.78,2284.47,26935,35.3,197.52,18.86,2.15,2.05
2003-12-31,--,--,67.29,30359.56,21574.73,--,3512.24,16.28,--,--,--,--,--,33.8,209.35,22.55,2.03,1.95
2002-12-31,8.15,7.85,16.98,27503.05,17391.76,--,4291.73,23.37,--,--,1881.79,1814.04,23098.61,--,--,--,--,--
2001-12-31,--,--,16.8,24771.43,16317.69,--,4360.2,27.51,--,--,--,--,--,--,--,--,--,--
