时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,12.33,8.53,248.67,30010.9,21879.44,69.58,298.29,1.36,1.46,10.77,3860.1,--,31312.36,32.6,261.03,24.03,3.27,3.71
2015-06-30,11.11,8.45,245.45,29888.43,21744.34,70.51,277.42,1.28,2.02,12.28,3504.72,--,31543.79,38.98,177.61,25.12,2.42,2.22
2015-03-31,11.62,8.56,245.46,27874.12,20843.05,72.4,245.13,1.18,1.46,10.93,3418.16,--,29425.8,38.42,83.12,25.19,3.08,3.55
2014-12-31,11.33,8.61,249.09,27240.04,20283.8,74.33,215.85,1.06,1.54,11.69,3249.06,--,28688.97,30.68,249.98,20.29,2.5,2.27
2014-09-30,10.91,8.71,267.9,26886.21,19717.35,70.85,189.77,0.96,1.73,11.94,2875.5,--,26344.64,41.63,182.65,20.35,3.1,3.46
2014-06-30,10.83,8.78,267.84,27567.83,18983.44,68.72,176.32,0.93,1.83,11.92,2798.38,--,25832.52,37.88,125.45,21.25,2.47,2.22
2014-03-31,10.96,7.99,321.71,25476.05,18367.56,71.99,142.25,0.77,1.83,12.55,2715.7,--,24769.05,33.32,59.6,21.59,2.84,3.07
2013-12-31,10.97,8.64,319.65,24196.96,17674.94,73.01,130.61,0.74,1.92,13.01,2649.95,--,24145.93,30.86,148.38,14.84,2.46,2.26
2013-09-30,11.14,--,348.14,24550.94,17265.81,70.31,118.78,0.69,2,12.43,2540.37,--,22811.79,31.83,113.39,15.64,2.71,2.77
2013-06-30,11.32,--,347.86,23879.68,16782.86,70.27,112.58,0.67,1.99,11.93,2503.12,--,22103.21,41.67,72.56,15.6,2.35,2.16
2013-03-31,11.14,--,394.04,22644.88,16169.99,71.46,94.68,0.59,2.08,13.04,2434.23,--,21846.86,32,34.87,15.84,2.59,2.57
2012-12-31,12.45,8.97,399.85,21343.65,15445.53,72.21,89.4,0.58,2.17,13.97,2334.17,1680.72,18570.66,37.57,95.9,11.56,2.58,2.39
2012-09-30,12.07,8.87,385.36,21131.54,15127.34,--,87.22,0.58,2.38,14.19,2197,1614.25,18037.53,46.46,68.49,11.26,2.62,2.45
2012-06-30,12.21,8.9,414.03,20617.49,14524.37,--,76.88,0.53,2.46,15.08,2121.85,1546.35,17270.22,38.65,43.97,10.99,2.64,2.43
2012-03-31,12.48,9.02,458.6,19127.38,13898.7,--,66.94,0.48,2.6,16.57,2040.28,1473.89,16217.78,46.7,20.79,10.44,2.85,2.73
2011-12-31,12.7,9.2,499.6,18510.55,13314.36,--,58.27,0.44,2.65,16.5,1997.64,1448.08,15601.8,42.8,64.76,2.47,2.6,2.42
2011-09-30,11.24,9.01,477.05,17697.2,12812.74,--,51.74,0.4,3.11,19.77,1700.04,1362.01,15018.38,49.18,52.89,10.73,2.66,2.58
2011-06-30,11.5,9.16,452.85,17509.17,12374.07,--,52.38,0.42,3.22,18.9,1641.11,1306.55,14248.33,42.76,34.97,10.97,2.49,2.33
2011-03-31,11.68,9.09,433.76,16725.3,11879.4,--,52.36,0.44,3.16,18.76,1605.76,1250.38,13735.1,45.58,15.76,10.37,2.47,2.34
2010-12-31,12.02,9.37,380.56,16386.8,11464.89,--,58.8,0.51,3.3,19.55,1538.46,1198.23,12783.61,40.28,46.52,9.33,2.49,2.4
2010-09-30,10.19,7.09,307.78,15337.54,10793.57,--,64.9,0.6,4.56,25.53,1130.86,786.63,11093.57,46.31,35.24,9.82,2.46,2.41
2010-06-30,10.24,7.01,302.26,14446.93,10506.1,--,64.65,0.62,4.64,26.49,1076.05,736.88,10500.89,42.87,23.85,--,1.25,2.36
2010-03-31,10.16,6.86,273.63,13069.48,9901.48,--,69.83,0.71,3.98,24.98,--,--,--,40.75,10.14,9.46,2.52,2.46
2009-12-31,10.34,6.9,245.93,12953.42,9288.55,--,74.6,0.8,3.35,25.04,975.8,651.84,9437.05,48.71,32.86,--,2.4,2.1
2009-09-30,10.16,6.76,212.84,12396.97,9035.72,--,84.03,0.93,3.71,24.74,944.52,628.22,9295.41,43.13,21.57,8.95,2.29,2.24
2009-06-30,8.11,4.68,216.03,12344.56,9387.18,--,84.65,0.9,3.49,28.82,788.47,454.94,9724.65,43.77,14.37,9.24,2.14,2.09
2009-03-31,8.72,4.84,218.32,10853.67,8542.61,--,82.01,0.96,3.94,27.08,--,--,--,48.92,6.84,8.59,2.12,2.04
2008-12-31,9.06,5.03,192.49,9472.94,6975.65,--,84.67,1.21,2.96,24.3,682.13,378.45,7518.21,55.24,28.61,8.76,3.05,2.91
2008-09-30,8.47,5.17,215.91,8688.31,6427.55,--,76.64,1.19,5.65,27.09,584.92,357.16,6899.73,42.2,21.18,8.63,3.25,3.18
2008-06-30,8.66,4.95,215.08,8335.28,6216.72,--,76.14,1.22,5.22,27.11,553.35,316.19,6382.85,37.69,14.39,8.89,3.34,3.26
2008-03-31,9.04,5.14,202.06,8034.98,5786.66,--,79.86,1.38,4.05,27.63,--,--,--,46.26,4.63,5.55,3.4,3.34
2007-12-31,9.15,5.01,191.08,7634.73,5509.88,--,80.23,1.46,4.21,28.93,503.74,276.21,5507.77,39.6,14.77,5.66,3.13,3.08
2007-09-30,8.24,--,--,7099.7,5380.46,--,86.63,1.61,4.18,32.51,--,--,--,40.42,10.04,5.52,3.07,3
2007-06-30,8.46,--,159.68,6414.71,5242.72,--,89.86,1.71,3.5,30.57,428.61,254.65,5063.73,39.08,5.77,4.89,3.08,3
2007-03-31,9.02,--,158.38,6017.25,4957.72,--,209.17,1.8,3.6,31.25,--,--,--,40.28,2.16,3.99,2.99,2.91
2006-12-31,9.27,--,151.46,5964.88,4608.93,--,84.4,1.83,3.75,31.9,399.59,234.43,4310.63,44.24,10.98,--,2.94,2.89
2006-09-30,8.01,4.03,158.76,5657.36,4428.35,--,83.7,1.89,7.56,36.47,344.12,172.98,4296.38,44.94,7.04,5.52,2.92,2.88
2006-06-30,8.01,4.07,157.78,5591.17,4308.17,--,78.37,1.82,4.53,32.78,331.47,168.57,4139.51,47.74,4.06,5.1,2.84,2.8
2006-03-31,--,--,149.35,5295.96,4067.15,--,77.68,1.91,4.13,32.77,0,--,--,48.18,5.97,--,2.36,2.32
2005-12-31,8.04,4.13,142.16,5055.76,3772.23,--,74.45,1.97,4.25,32.48,284.35,145.96,3535.75,41.57,23.83,--,2.41,2.38
2005-09-30,8.04,4.25,145.22,4580.68,3474.86,--,76.45,2.2,4.43,30.84,268.15,141.63,3336.3,49.87,17.51,--,2.45,2.39
2005-06-30,8.24,4.18,43.61,4349.42,3399.5,--,240.34,2.15,4.93,30.73,268.56,136.2,3259.69,46.24,10.78,--,2.48,2.4
