时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,11.91,--,164.75,"19,589.35","14,685.22",--,210.34,1.43,--,--,"2,513.45",--,"21,099.75",--,203.89,29.11,2.81,3.08
2015-06-30,11.92,--,155.18,"18,945.76","14,182.01",72.3,201.41,1.42,2.65,14.02,"2,403.86",--,"20,164.9",46.81,134.33,29.5,2.27,2.03
2015-03-31,11.26,--,181.35,"18,404.53","13,718.35",--,161.93,1.18,--,--,"2,220.04",--,"19,710.77",--,66.89,30.05,2.74,3.05
2014-12-31,11.21,9.95,180.52,"17,853.37","12,994.55",70.1,155.25,1.19,3.05,15.19,"2,127.19","1,790.25","18,982.31",45.9,202.72,25.81,2.3,2.06
2014-09-30,11.48,--,197,"17,282.79","12,721.44",--,135.91,1.07,--,--,"2,076.4",--,"18,089.43",--,144.61,24.96,2.73,3.02
2014-06-30,10.89,9.52,185.49,"17,962.82","12,453.56",69.41,138.77,1.11,3.35,16.96,"1,980.87","1,650.14","18,195.47",45.23,96.22,25.69,2.25,1.99
2014-03-31,10.21,--,208.37,"17,408.44","12,218.67",--,118.84,0.97,--,--,"1,819.03",--,"17,809.44",--,48.6,27.1,2.53,2.92
2013-12-31,10.57,9.63,241.02,"16,052.78","11,663.1",72.59,100.29,0.86,3.7,18.92,"1,753.51","1,530.53","16,588.61",33.12,144.44,22.12,2.16,1.96
2013-09-30,9.65,--,254.73,"16,221.07","11,393.98",--,93.64,0.82,--,--,"1,597.23",--,"16,544.54",--,102.3,20.97,2.51,2.68
2013-06-30,9.67,8.34,292.83,"15,546.91","11,045.54",70.28,88.41,0.8,4.16,22.95,"1,557.54",0,"16,114.06",27.63,77.28,22.88,2.23,2.04
2013-03-31,9.9,8.08,305.45,"15,575.69","10,764.68",--,85.48,0.79,--,--,--,--,--,--,37.41,22.29,2.65,2.79
2012-12-31,10.99,8,339.63,"14,269.41","10,231.87",71.52,76.13,0.74,4.39,23.73,"1,521.03","1,119.77","13,836.05",51.25,96.53,16.11,2.54,2.34
2012-09-30,11.21,8.24,340.84,"14,145.38","9,971.79",--,69.8,0.7,--,--,--,--,--,--,64.47,14.53,2.82,2.76
2012-06-30,11.14,8.05,371.07,"13,832.12","9,724.87",69.71,62.54,0.64,4.72,25.32,"1,419.95","1,038.5","12,746.49",40.09,51.72,16.97,2.7,2.48
2012-03-31,10.67,8.11,363.74,"13,103.52","9,310.98",--,60.01,0.64,--,--,--,--,--,--,29.27,19.39,2.77,2.73
2011-12-31,10.57,7.89,367,"12,252.78","8,903.65",71.67,57.34,0.64,5.58,31.34,"1,198.9",907.71,"11,291.47",37.67,66.32,14.4,2.49,2.3
2011-09-30,10.93,8.24,362.91,"11,760.71","8,658.63",--,55.99,0.65,--,--,--,--,--,--,48.8,14.41,2.62,2.55
2011-06-30,10.82,8.06,358.61,"11,648.74","8,511.79",71.1,57.13,0.67,5.14,32.34,"1,147.08",867.43,"10,551.09",35.29,40.52,17.67,2.41,2.24
2011-03-31,10.73,8,329.52,"11,379.84","8,256.87",--,57.45,0.7,--,--,--,--,--,--,19.05,17.08,2.5,2.39
2010-12-31,11.02,8.15,313.38,"10,631.8","7,795.18",71.63,58.31,0.75,4.12,33.51,"1,033.12",776.38,"9,329.33",45.63,51.08,14.38,2.18,2.08
2010-09-30,11.94,8.99,265.49,"10,244.26","7,356.63",--,64.07,0.87,--,--,--,--,--,--,42.05,15.94,2.34,2.25
2010-06-30,9.36,6.4,238.14,"9,513.69","7,258.55",74.39,68.7,0.95,6.4,45.69,782.53,535.5,"8,312.82",40.44,30.77,--,2.12,2.02
2010-03-30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009-12-31,10.39,6.84,194.08,"8,077.03","6,489.69",78.15,81.23,1.25,5.67,48.16,705.12,464.27,"6,762.84",35.15,46.57,19.2,1.95,1.85
2008-12-31,9.1,5.98,--,"6,258.53","4,684.87",--,93.62,2,--,--,437.05,287.05,"4,771.43",41.71,23.65,9.57,2.8,2.66
2007-12-31,7.19,6.2,91.64,"5,607.03","4,175.67",--,187.47,4.49,--,--,267.08,230.48,"3,715.01",--,--,11.3,--,2.72
2006-12-31,-0.39,-0.39,--,"5,028.71","3,342.47",--,267,7.58,--,--,--,--,--,--,--,6.1,--,--
2005-12-31,-1.47,-1.47,--,"4,334.04","2,855.04",--,--,9.57,--,--,--,--,--,--,--,9.6,--,--
