时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,11.08,--,166.97,17233.28,12092.74,--,161.99,1.34,3.62,21.71,1766.7,--,15945.76,64.23,229.46,32.25,2.73,2.59
2015-06-30,10.96,--,183.03,16551.12,11878.34,70.4,157.29,1.32,2.38,18.62,1725.41,--,15741.28,69.33,154.57,33.19,2.71,2.57
2015-03-31,10.56,--,173.17,15784.37,11241.68,69.77,131.98,1.17,2.87,21.7,1548.78,--,14661.17,57.21,55.27,26.74,2.73,2.57
2014-12-31,10.86,9.28,200.9,15331.83,10247.34,65.39,105.01,1.02,2.93,19.77,1499.51,--,13804.32,52.51,203.61,27.74,2.57,2.4
2014-09-30,11,9.33,191.82,15081.79,9928.92,64.57,97.65,0.98,3.01,20.58,1440.85,--,13095.12,68.99,162.33,29.7,2.53,2.36
2014-06-30,11.02,9.43,198.18,15089.04,9382.27,60.98,86.68,0.92,3.56,20.97,1378.19,--,12502.7,67.57,101.79,29.31,2.5,2.32
2014-03-31,10.79,9.54,201.55,13826.49,8903.49,63.75,81.05,0.91,4.27,19.91,1308.34,--,12121.21,63.22,45.5,28.26,2.42,2.23
2013-12-31,9.9,9.41,201.06,12170.02,8472.89,68.64,75.41,0.89,4.73,20.88,1158.84,--,11704.12,50,115.01,22.04,2.31,2.14
2013-09-30,8.91,8.09,186.02,12523.66,8326.38,66.06,80.32,0.96,4.95,24.23,992.17,--,11131.05,45.97,82.89,0.22,2.23,2.07
2013-06-30,8.78,8.05,183.54,11753.61,7864.84,66.23,76.37,0.97,4.91,23.92,940.72,--,10719.81,43.71,48.98,20.91,2.19,2.03
2013-03-31,8.79,8.25,182.68,10645.14,7548.01,67.89,73.66,0.98,3.29,22.29,910.89,--,10362.28,44.39,20.95,19.39,2.18,2.01
2012-12-31,11.37,8.59,182.32,10211.08,7207.8,69.61,68.66,0.95,2.95,15.6,1018.66,768.96,8955.93,51.31,67.13,16.89,2.37,2.19
2012-09-30,11.3,8.47,209.4,9353.97,7050.84,71.18,56.57,0.8,2.95,17.34,--,--,--,47.57,49.72,16.83,2.38,2.2
2012-06-30,11.4,8.44,237.96,9495.78,6829.06,67.89,49.71,0.73,3.25,18.9,964.25,713.75,8459.14,59.74,34.69,17.68,2.42,2.22
2012-03-31,11.63,8.63,253.37,9148.1,6513.76,--,44.48,0.68,--,--,--,--,--,--,17.69,18.19,2.47,2.27
2011-12-31,11.51,8.46,320.66,8508.45,6206.42,--,32.95,0.53,--,--,914.91,672.44,7947.02,--,43.53,14.69,2.53,2.37
2011-09-30,11.46,8.38,365.77,8322.41,6082.71,--,21.01,0.43,--,--,--,--,--,--,30.2,14.59,2.56,2.4
2011-06-30,10.58,7.01,379.74,6324.97,4484.84,68.31,19.73,0.44,4.77,24.27,567.16,375.38,5358.48,54.84,17.48,14.4,2.63,2.5
2011-03-31,10.13,7.14,332.02,5827.16,4224.86,72.54,20.45,0.48,5.03,27.17,501.12,353.22,4945.16,54.48,7.11,12.22,2.68,2.56
2010-12-31,10.19,7.1,271.5,5629.12,4073.91,69.23,23.67,0.58,5.29,26.86,472.72,329.19,4636.91,52.52,21.93,12.17,2.49,2.41
2010-09-30,10.07,7,253.53,5366.82,3983.56,74.25,22.62,0.57,5.51,28.13,453.82,315.34,4504.77,44.21,17,12.92,2.49,2.42
2010-06-30,10.41,7.2,224.09,5059.88,3736.25,73.84,22.92,0.61,5.8,29.03,431.09,298.21,4139.28,44.79,10.87,--,2.46,2.4
2010-03-31,8.66,5.46,187.53,4676.15,3719.74,79.55,23.3,0.63,7.36,37.92,339.78,214.33,3923.94,42.77,4.74,0.01,2.42,2.36
2009-12-31,8.88,5.52,161.84,4546.35,3595.17,--,24.44,0.68,7.84,40.85,319.05,198.54,3595.08,38.59,21.3,--,2.47,2.41
2009-09-30,8.6,5.2,153.18,4238.86,3604.99,73.42,23.5,0.65,8.22,40.7,304.01,183.79,3536.74,35.61,15.54,13.98,2.49,2.43
2009-06-30,8.62,5.08,133.07,4165.72,3423.46,--,24.72,0.72,3.44,26.24,291.06,171.58,3375.7,34,11.46,15.05,2.51,2.45
2009-03-31,8.53,5.23,130.43,4006.59,3194.35,64.34,19.63,0.61,3.86,27.9,259.31,158.97,3038.62,41.61,4.6,12.27,2.7,2.63
2008-12-31,8.58,5.27,105.14,3605.14,2837.41,67.01,19.28,0.68,4.22,26.9,239.59,147.1,2791.13,41.5,19.38,13.2,3.02,2.86
2008-09-30,8.84,6.48,54.59,3483.8,2591.25,69.63,110.81,4.28,2.92,23.45,239.77,175.78,2712.19,44.47,12.63,11.75,3.09,3.36
2008-06-30,8.53,6.15,53.75,3431.4,2463.73,71.87,114.21,4.64,3.09,26.46,226.33,163.28,2653.17,49.69,8.13,11.42,3.17,3.36
2008-03-31,8.41,5.71,51.75,3135.13,2341.16,--,120.67,5.15,--,--,200.56,136.25,2385.69,--,4.08,11.48,3.36,3.49
