时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,14.97,12.15,178.99,138277.13,103596.26,74.92,1499.71,1.45,--,--,15970.82,--,--,--,1165.83,25.49,2.64,2.47
2015-06-30,14.7,12.13,185.29,136969.77,101570.79,74.16,1443.59,1.42,5.55,14.26,15421.23,--,104906.49,43.93,864.23,27.79,2.67,2.48
2015-03-31,14.97,12.18,207.23,136664.92,98122.11,71.8,1272.77,1.3,--,--,15551.3,--,--,--,510.67,31.45,2.72,2.59
2014-12-31,14.87,12.09,222.33,128986.75,94745.23,73.45,1131.71,1.19,5.05,13.42,15169.28,--,102036.43,48.88,1330.72,23.33,2.8,2.61
2014-09-30,14.53,14.5,234.47,129824.06,93494.89,72.02,1053.2,1.13,--,--,14879.15,--,--,--,1058.06,24.66,2.8,2.68
2014-06-30,13.89,11.7,248.87,129569.56,91906.01,70.93,956.68,1.04,4.77,14.81,14046.37,--,101094.95,47.72,758.05,26.4,2.8,2.62
2014-03-31,13.5,11.29,260.21,128586.02,89211.28,69.38,908.08,1.02,--,--,13775.6,--,--,--,441.44,29.96,2.81,2.62
2013-12-31,13.34,--,268.22,122230.37,85900.57,70.28,852.64,0.99,4.51,14.8,13167.24,--,98727.9,46.57,1190.64,23.41,2.74,2.56
2013-09-30,13.52,11.38,267.88,121160.73,83772.1,69.14,820.87,0.98,--,--,12912.9,--,--,--,908.8,0.24,2.71,2.54
2013-06-30,13.34,11.37,265.2,121494.38,80950.52,66.63,803.1,0.99,4.54,14.2,12384.05,--,92820.2,51.94,637.41,25.35,2.71,2.54
2013-03-31,13.63,11.1,270.76,120046.34,78599.23,65.47,777.76,0.99,--,--,12467.9,--,--,--,332.73,26.49,2.71,2.54
2012-12-31,14.32,11.32,271.29,113430.79,75123.12,66.23,746.18,0.99,3.86,14.76,10934.29,8757.52,76377.05,56.73,1075.44,23.34,2.75,2.58
2012-09-30,13.87,11.35,262.92,110585.03,72659.75,65.7,729.45,1,--,--,--,--,--,--,802.52,23.52,2.74,2.57
2012-06-30,13.82,11.19,262.38,109408.37,70613.43,64.54,704.17,1,3.05,14.72,9997.76,8197.34,72365.86,56.56,573.13,25.25,2.71,2.53
2012-03-31,13.66,11.02,250.65,106115.6,68278.42,64.34,706.91,1.04,--,--,--,--,--,--,275.81,25.15,2.65,2.48
2011-12-31,13.68,10.97,241.44,99874.5,64964.11,65.05,709.15,1.09,3.3,15.18,9245.06,7506.6,67601.17,53.7,925.18,23.3,2.7,2.57
2011-09-30,12.58,10.57,248.65,97355.8,63416.37,65.14,646.42,1.02,--,--,--,--,--,--,731.4,24.7,2.68,2.56
2011-06-30,12.51,10.42,244.68,98921.08,61403.87,62.07,634.17,1.03,2.78,15.39,8233.55,6960.07,65798.46,50.97,503.27,25.67,2.66,2.55
2011-03-31,12.45,10.33,228.8,94590.58,59100.98,62.48,645.55,1.09,--,--,--,--,--,--,247.03,25.64,2.69,2.58
2010-12-31,12.68,10.4,221.14,90753.69,56691.28,62.47,647.12,1.14,2.76,16,7624.49,6346.83,60153.29,51.96,719.89,22.25,2.49,2.4
2010-09-30,11.64,9.33,213.48,89692.26,--,--,626.07,1.14,--,--,--,--,--,--,526.17,22.41,1.95,2.35
2010-06-30,11.68,9.27,204.72,85917.01,53493.82,62.26,651.68,1.22,2.62,17.01,6577.61,5308.68,56312.14,51.36,355.08,--,1.3,2.32
2010-03-31,11.44,9.17,192.16,84474.39,49327.8,--,685.28,1.35,--,--,--,--,--,--,180.96,--,0.66,2.3
2009-12-31,11.7,9.31,175.77,80013.23,48197.73,60.24,721.56,1.5,3.09,18.94,6082.33,4914.52,51975.45,49.63,552.99,--,2.67,2.3
2009-09-30,12.11,9.57,161.08,77914.45,--,--,736.82,1.57,--,--,--,--,--,--,416.14,21.18,2.41,2.3
2009-06-30,11.97,9.3,150.51,76100.22,45253.57,59.47,772.08,1.71,3.05,18.9,5854.9,4618.73,48893.13,47.43,283.16,21.7,2.46,2.34
2009-03-31,12.37,9.6,141.75,72143.58,--,--,819.36,1.9,--,--,--,--,--,--,145.53,22.29,2.58,2.46
2008-12-31,12.16,10.17,131.58,63759.15,37939.43,59.5,838.82,2.21,3.68,20.72,5104.16,4313.53,41964.93,52.74,424.87,15.92,3.24,3.1
2008-09-30,12.1,10.2,119.41,61118.5,--,--,785.37,2.17,--,--,--,--,--,--,305.3,15.4,3.3,3.17
2008-06-30,12.06,10.08,117.23,57815.73,35375.37,61.19,781.13,2.21,4.23,19.69,4900.4,4146.44,40648.9,48.64,240.57,17.83,3.29,3.16
2008-03-31,12.38,10.26,107.79,56386.18,--,--,760.36,2.22,--,--,--,--,--,--,104.35,16.14,3.26,3.12
2007-12-31,12.58,10.37,104.41,53403.16,32721.57,61.27,851.7,2.6,4.7,19.86,4631.82,3864.03,36831.2,40.98,265.38,12.09,3.18,3.07
2007-09-30,12.53,10.6,97.01,51938,--,--,924.44,2.83,--,--,--,--,--,--,193.98,12.22,3.56,3.62
2007-06-30,11.34,9.43,90.67,50482.85,31653.73,--,934.1,2.95,5.95,--,3939.5,3303.46,34754.3,40.54,100.4,10.12,3.11,3.01
2006-12-31,12.11,9.92,82.24,47212.56,28735.16,--,943.99,3.29,5.82,--,3743.95,3095.33,30910.9,39.05,97.03,6.47,2.79,2.69
2006-06-30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49.49,7.05,2.7,2.59
2005-12-31,13.59,11.08,66.78,40060.46,24583.98,--,944.69,3.84,6.71,28.38,3481.04,2843.07,25621.5,59.08,106.3,8.36,2.78,2.7
2004-12-31,11.32,8.6,61.64,34911.21,22274.26,--,873.8,3.92,9.53,41.53,2569.81,1955.51,22701.7,51.37,110.19,9.79,2.82,2.77
