时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2015-09-30,12.53,--,299.26,3593.06,2418.01,58.81,21.17,0.88,1.82,11.39,521.04,--,4157.44,--,24.88,17.62,2.39,2.41
2015-06-30,12.64,8.95,281.79,3581.83,2316.83,58.96,20.52,0.89,2.38,11.24,524.51,--,4150.35,--,14.09,15.65,2.39,2.38
2015-03-31,11.98,10.16,284.34,3495.91,2205.6,59.23,19.53,0.89,2.49,12.85,430,--,3589.42,--,6.71,15.25,2.44,2.43
2014-12-31,12.4,10.32,285.17,3065.32,2100.62,64.12,18.63,0.89,2.56,12.7,418.44,--,3375.53,--,20.02,13.04,2.51,2.5
2014-09-30,12.16,10.4,241.12,3070.6,2009.51,60.32,17.89,0.89,2.23,12.46,392.89,--,3232.28,--,12.41,11.19,2.69,2.64
2014-06-30,11.47,9.39,241.18,3058.84,1909.18,59.3,17.03,0.89,2.41,13.49,359.19,288.1,3131.28,--,9.42,12.91,2.52,2.53
2014-03-31,11.04,9.01,248.74,2808.83,1842.43,60.97,16.40,0.89,3.44,16.6,--,--,--,--,3.88,10.99,2.99,3.07
2013-12-31,12.06,10.16,254.88,2552.78,1711.9,61.97,15.25,0.89,3.08,15.54,327.36,253.06,2713.8,--,15.03,11.78,3.05,2.91
2013-09-30,12.52,10.09,252.55,2506.62,1640.64,60.4,13.76,0.84,2.99,15.28,326.14,--,2604.36,--,9.97,10.75,3.07,3.02
2013-06-30,12.85,10.38,257.12,2546.9,1588.2,58.6,13.14,0.83,2.22,14.53,322.63,244.83,2509.9,--,6.97,11.38,3,2.85
2013-03-31,13.3,--,256.07,2442.67,1543.62,61.15,12.79,0.83,2.35,15.34,308.44,--,2318.9,--,2.33,7.95,3.45,3.39
2012-12-31,15.65,11.49,275.39,2075.77,1456.18,67.74,11.09,0.76,2.44,16.1,298.45,219.11,1906.61,--,11.26,10.89,3.48,3.23
2012-09-30,14.66,11.89,236.87,2114.25,1398.02,63.76,10.45,0.75,2.82,17.94,262.65,213.02,1791.83,44.38,9.24,12.12,3.38,3.3
2012-06-30,14.71,11.71,238.42,2044.62,1362.75,64.21,9.79,0.72,2.96,20.16,251.43,200.17,1708.79,40.4,6.24,12.57,3.47,3.34
2012-03-31,14.84,11.85,245.15,1893.9,1303.78,66.2,8.92,0.68,3.09,19.11,242.91,194.02,1636.67,--,3.49,14.53,3.29,3.19
2011-12-31,15.36,12.17,240.74,1767.37,1227.45,66.62,8.32,0.68,2.17,18.31,230.31,182.53,1499.93,--,11.33,14.22,3.23,3.12
2011-09-30,15.53,12.33,225.21,1709.59,1170.09,65.52,7.77,0.66,3.23,17.49,223.92,177.72,1441.71,44.95,8.18,14.33,3.19,3.22
2011-06-30,14.62,11.46,210.11,1727.24,1137.44,62.96,7.89,0.69,2.33,18.48,214.64,168.25,1468.13,50.94,5.59,15.37,2.6,2.66
2011-03-31,15.22,11.93,202.5,1538.44,1073.4,66.52,7.21,0.67,2.38,18.18,209.7,164.45,1378.01,50.65,2.1,12.44,2.45,2.5
2010-12-31,16.2,12.5,196.15,1458.28,1015.74,66.22,7.04,0.69,2.48,17.43,201.64,155.65,1244.85,53,7.97,13.49,2.76,2.88
2010-09-30,10.91,9.18,197.2,1385.05,969.67,66.4,6.35,0.65,3.83,26.48,130.5,109.83,1196.6,37.25,4.72,11.36,2.92,3.1
2010-06-30,10.81,9.04,205.69,1283.75,936.06,69.02,5.78,0.62,4.03,28.21,124.07,103.75,1147.7,39.39,3.23,--,3.06,3.25
2010-03-31,10.88,9.07,187.47,1162.51,875.51,71.01,6.18,0.71,4.37,31.4,114.31,95.29,1050.83,41.09,1.78,13.45,3.55,3.63
2009-12-31,10.75,9.58,170.06,1107.52,818.64,69.4,6.45,0.79,4.79,33.78,104.42,93.01,971.05,46.17,6.22,--,3.12,3.18
2009-09-30,11.25,10.02,167.99,1048.12,796.06,71.25,6.05,0.76,4.9,35.69,101.96,90.79,906.11,38.15,3.77,13.19,3,2.96
2009-06-30,12.84,11.56,160.41,970.28,642.49,66.31,5.44,0.85,4.64,29.17,96.97,87.33,755.39,58.57,2.77,14.97,2.94,2.84
2009-03-31,14.78,13.44,154.92,851.99,536.9,65.88,4.9,0.91,3.69,26.49,94.75,86.12,640.93,52.77,2.04,21.34,2.96,2.84
2008-12-31,16.15,14.6,152.5,762.22,491.56,64.49,4.52,0.92,3.23,24.54,92.95,84.03,575.61,56.44,5.13,15.07,3.47,3.24
2008-09-30,16.44,15,201.69,717.39,468.61,65.35,2.98,0.63,3.16,22.86,93.1,84.96,566.45,54.92,3.34,13.42,3.45,3.18
2008-06-30,17.02,15.5,323.43,642.17,438.76,68.4,1.74,0.4,2.4,20.24,88.85,80.89,521.95,53.39,2.32,14.48,3.54,3.28
2008-03-31,--,--,363.95,587.45,406.53,--,1.43,0.35,--,--,--,--,--,--,1.4,17.47,3.51,3.27
2007-12-31,21,18.99,359.94,555.14,365.02,63.95,1.3,0.36,2.37,21.17,84.36,76.27,401.73,61.62,1.79,7.98,3.27,3.13
2007-09-30,--,--,360.13,525.17,357.99,--,1.29,0.36,--,--,--,--,--,--,1.13,--,--,--
2007-06-30,11.02,9.31,16.5,514.77,336.16,60.11,26.4,0.35,5.06,--,39.52,33.39,358.54,54.78,0.66,6.68,3.16,3.09
2006-12-31,11.48,9.71,405.28,461.91,281.35,57.79,0.92,0.33,5.55,48.92,36.07,30.49,314.17,62.61,1.18,7.35,3.14,2.94
2005-12-31,10.81,8.68,271.48,375.21,196.09,52.26,1.19,0.61,9.18,77.23,23.96,19.61,221.64,82.59,0.65,5.32,3.17,3.26
2004-12-31,10.81,8.38,200.69,297.55,172.95,58.13,1.67,0.96,13.52,83.66,21.45,18.93,198.42,80.42,0.92,8.83,--,3.18
